pk,jsondata,language_pk,identifier_pk,description,version
380,,541,676,,1
381,,1237,676,,1
382,,2420,676,,1
383,,1235,601,,1
384,,670,1631,,1
385,,2107,1742,,1
386,,216,1558,,1
387,,1695,1078,,1
388,,2290,1246,,1
389,,1845,1399,,1
390,,1331,1586,,1
391,,1684,437,,1
392,,1120,843,,1
393,,17,94,,1
394,,1439,94,,1
395,,2326,94,,1
396,,1209,1890,,1
397,,2111,599,,1
398,,954,1648,,1
399,,2549,1775,,1
400,,973,255,,1
401,,2011,1926,,1
402,,1189,1063,,1
403,,2205,550,,1
404,,1838,989,,1
405,,2234,354,,1
406,,1153,576,,1
407,,2049,1310,,1
408,,2407,1964,,1
409,,2056,275,,1
410,,1187,57,,1
411,,370,928,,1
412,,2219,708,,1
413,,1986,1395,,1
414,,1623,1634,,1
415,,1585,123,,1
416,,1685,712,,1
417,,1472,1231,,1
418,,1196,1804,,1
419,,2152,650,,1
420,,1387,1621,,1
421,,773,1957,,1
422,,458,1647,,1
423,,520,314,,1
424,,1011,1806,,1
425,,1130,1076,,1
426,,1104,230,,1
427,,2472,87,,1
428,,2024,735,,1
429,,881,773,,1
430,,1204,1727,,1
431,,2362,1532,,1
432,,1607,952,,1
433,,1861,161,,1
434,,1638,161,,1
435,,1344,161,,1
436,,281,161,,1
437,,859,161,,1
438,,575,1300,,1
439,,50,424,,1
440,,512,188,,1
441,,145,914,,1
442,,1018,154,,1
443,,2104,1534,,1
444,,2410,658,,1
445,,1708,1519,,1
446,,36,213,,1
447,,319,505,,1
448,,2227,505,,1
449,,1463,910,,1
450,,1826,1455,,1
451,,135,1901,,1
452,,2280,1419,,1
453,,2251,937,,1
454,,1646,846,,1
455,,784,16,,1
456,,1024,16,,1
457,,1453,16,,1
458,,818,16,,1
459,,1675,260,,1
460,,1016,79,,1
461,,912,113,,1
462,,1813,1396,,1
463,,421,1274,,1
464,,1176,740,,1
465,,1009,1611,,1
466,,1411,1155,,1
467,,1487,1673,,1
468,,2126,909,,1
469,,2228,972,,1
470,,2321,1716,,1
471,,2263,1293,,1
472,,781,1293,,1
473,,953,1638,,1
474,,1274,1537,,1
475,,1907,1200,,1
476,,1085,1016,,1
477,,467,1717,,1
478,,2291,1717,,1
479,,2317,1866,,1
480,,2150,1557,,1
481,,835,1535,,1
482,,211,1485,,1
483,,2327,430,,1
484,,2196,430,,1
485,,1606,855,,1
486,,819,339,,1
487,,2067,1290,,1
488,,2266,180,,1
489,,2149,325,,1
490,,1240,695,,1
491,,1920,66,,1
492,,2144,133,,1
493,,1497,133,,1
494,,1854,1824,,1
495,,1803,1750,,1
496,,2444,562,,1
497,,2221,900,,1
498,,1679,1333,,1
499,,1036,1594,,1
500,,2336,1223,,1
501,,2399,1359,,1
502,,676,483,,1
503,,2029,1570,,1
504,,1589,287,,1
505,,1798,606,,1
506,,391,1121,,1
507,,2306,1840,,1
508,,594,1495,,1
509,,745,1515,,1
510,,2436,172,,1
511,,34,208,,1
512,,2448,827,,1
513,,608,1693,,1
514,,614,641,,1
515,,1192,1190,,1
516,,1914,1561,,1
517,,2468,1438,,1
518,,829,450,,1
519,,769,1884,,1
520,,1303,439,,1
521,,1338,1899,,1
522,,1612,1103,,1
523,,470,758,,1
524,,933,964,,1
525,,2366,1954,,1
526,,48,371,,1
527,,682,602,,1
528,,2396,602,,1
529,,1768,1215,,1
530,,1731,1215,,1
531,,2102,1215,,1
532,,2429,1215,,1
533,,409,1215,,1
534,,889,1215,,1
535,,408,1215,,1
536,,410,1215,,1
537,,569,1215,,1
538,,411,1215,,1
539,,182,1215,,1
540,,181,1215,,1
541,,1953,473,,1
542,,1637,326,,1
543,,1578,868,,1
544,,2177,1168,,1
545,,1898,820,,1
546,,2155,1068,,1
547,,937,1068,,1
548,,2464,671,,1
549,,1764,1053,,1
550,,97,596,,1
551,,429,1387,,1
552,,1010,1737,,1
553,,157,999,,1
554,,1314,999,,1
555,,1074,1652,,1
556,,1186,1652,,1
557,,1618,1394,,1
558,,2526,540,,1
559,,780,27,,1
560,,977,347,,1
561,,1769,1398,,1
562,,2354,1398,,1
563,,1458,778,,1
564,,1852,1770,,1
565,,108,668,,1
566,,109,668,,1
567,,2545,668,,1
568,,325,593,,1
569,,850,1921,,1
570,,2461,1500,,1
571,,2532,1058,,1
572,,1772,1279,,1
573,,1938,1174,,1
574,,2431,653,,1
575,,790,391,,1
576,,1214,148,,1
577,,1880,1314,,1
578,,236,1768,,1
579,,1110,361,,1
580,,1951,361,,1
581,,1779,1683,,1
582,,802,707,,1
583,,1418,1429,,1
584,,1495,68,,1
585,,1351,1025,,1
586,,2367,507,,1
587,,2202,225,,1
588,,351,768,,1
589,,1505,567,,1
590,,691,1911,,1
591,,543,1911,,1
592,,2353,947,,1
593,,1057,1938,,1
594,,2109,1851,,1
595,,2329,654,,1
596,,2350,616,,1
597,,2337,1019,,1
598,,1431,932,,1
599,,456,1636,,1
600,,1144,1636,,1
601,,1699,1266,,1
602,,1471,1972,,1
603,,663,292,,1
604,,241,292,,1
605,,348,750,,1
606,,1784,1944,,1
607,,1823,74,,1
608,,722,1187,,1
609,,1228,421,,1
610,,565,1150,,1
611,,1146,1668,,1
612,,1008,1597,,1
613,,1819,1931,,1
614,,302,338,,1
615,,1788,49,,1
616,,1292,49,,1
617,,1728,1573,,1
618,,568,1195,,1
619,,306,850,,1
620,,2146,174,,1
621,,1124,174,,1
622,,1634,508,,1
623,,59,690,,1
624,,913,128,,1
625,,246,1819,,1
626,,521,717,,1
627,,544,717,,1
628,,2009,1475,,1
629,,1097,1924,,1
630,,1137,1328,,1
631,,2045,994,,1
632,,2052,1886,,1
633,,1873,165,,1
634,,2551,478,,1
635,,1071,633,,1
636,,920,331,,1
637,,357,798,,1
638,,2387,64,,1
639,,2261,638,,1
640,,1395,880,,1
641,,385,1004,,1
642,,1030,466,,1
643,,2373,1834,,1
644,,1539,203,,1
645,,2158,1248,,1
646,,1770,1248,,1
647,,441,1450,,1
648,,2197,1739,,1
649,,947,1432,,1
650,,940,1131,,1
651,,1297,237,,1
652,,1848,1463,,1
653,,617,1809,,1
654,,2002,959,,1
655,,2508,318,,1
656,,2093,509,,1
657,,1490,1949,,1
658,,890,547,,1
659,,2471,547,,1
660,,1926,366,,1
661,,1816,1688,,1
662,,1258,1245,,1
663,,331,665,,1
664,,1990,1946,,1
665,,1918,1946,,1
666,,102,628,,1
667,,1373,1732,,1
668,,193,1315,,1
669,,1380,22,,1
670,,2550,501,,1
671,,1977,1166,,1
672,,249,1896,,1
673,,2275,120,,1
674,,942,1138,,1
675,,2483,1138,,1
676,,1655,1138,,1
677,,1841,1138,,1
678,,2064,1138,,1
679,,1656,1138,,1
680,,562,1138,,1
681,,399,1138,,1
682,,564,1138,,1
683,,1191,1138,,1
684,,398,1138,,1
685,,400,1138,,1
686,,174,1138,,1
687,,2506,1765,,1
688,,1931,583,,1
689,,1617,1384,,1
690,,2231,1422,,1
691,,2035,71,,1
692,,2536,865,,1
693,,1404,979,,1
694,,1504,532,,1
695,,2259,386,,1
696,,426,1338,,1
697,,1564,1338,,1
698,,2171,84,,1
699,,1029,408,,1
700,,394,1132,,1
701,,1394,621,,1
702,,2382,1603,,1
703,,1933,720,,1
704,,659,222,,1
705,,974,310,,1
706,,1264,510,,1
707,,2087,702,,1
708,,2160,1794,,1
709,,875,560,,1
710,,431,1402,,1
711,,324,885,,1
712,,2528,810,,1
713,,2357,257,,1
714,,1354,687,,1
715,,2293,613,,1
716,,487,1916,,1
717,,779,1977,,1
718,,1818,1897,,1
719,,486,1906,,1
720,,1837,942,,1
721,,1127,969,,1
722,,2395,1846,,1
723,,2187,376,,1
724,,865,1958,,1
725,,2034,1958,,1
726,,661,266,,1
727,,753,1617,,1
728,,1397,722,,1
729,,2319,648,,1
730,,448,1568,,1
731,,1701,1445,,1
732,,571,1260,,1
733,,250,457,,1
734,,1392,1891,,1
735,,361,852,,1
736,,2555,607,,1
737,,2057,300,,1
738,,1257,1217,,1
739,,1154,32,,1
740,,1,1,,1
741,,1278,1643,,1
742,,1691,927,,1
743,,1568,1182,,1
744,,1334,1861,,1
745,,1996,1110,,1
746,,1388,416,,1
747,,1956,514,,1
748,,2170,80,,1
749,,1792,284,,1
750,,1180,875,,1
751,,2439,1382,,1
752,,566,1156,,1
753,,98,603,,1
754,,612,1744,,1
755,,2417,1978,,1
756,,1059,1978,,1
757,,496,1978,,1
758,,264,1978,,1
759,,1785,1978,,1
760,,1100,955,,1
761,,2324,1401,,1
762,,451,1588,,1
763,,1899,845,,1
764,,602,1602,,1
765,,2116,1109,,1
766,,2376,785,,1
767,,1783,1814,,1
768,,1580,1928,,1
769,,2323,1065,,1
770,,1955,552,,1
771,,1982,1601,,1
772,,1476,447,,1
773,,2394,447,,1
774,,2076,578,,1
775,,293,277,,1
776,,546,793,,1
777,,2479,1069,,1
778,,1201,1577,,1
779,,2223,1553,,1
780,,1041,1073,,1
781,,194,1320,,1
782,,502,465,,1
783,,639,125,,1
784,,854,54,,1
785,,871,317,,1
787,,2252,1032,,1
788,,2316,1550,,1
789,,215,1550,,1
790,,1622,1550,,1
791,,899,1959,,1
792,,1558,1175,,1
793,,2206,1157,,1
794,,1015,24,,1
795,,1148,429,,1
796,,1219,232,,1
797,,1631,89,,1
798,,600,775,,1
799,,127,775,,1
800,,2183,1729,,1
801,,1945,1767,,1
802,,1533,1700,,1
803,,2456,1547,,1
804,,2179,1640,,1
805,,2304,1497,,1
806,,1978,1165,,1
807,,555,981,,1
808,,1473,1240,,1
809,,2248,426,,1
810,,94,426,,1
811,,51,426,,1
812,,1867,190,,1
813,,1556,156,,1
814,,103,635,,1
815,,1658,1256,,1
816,,280,145,,1
817,,1901,1041,,1
818,,1868,660,,1
819,,1369,1580,,1
820,,856,912,,1
821,,833,1457,,1
822,,1072,1903,,1
823,,767,939,,1
824,,1983,1578,,1
825,,982,262,,1
826,,971,115,,1
827,,969,44,,1
828,,761,1796,,1
829,,395,1133,,1
830,,844,1760,,1
831,,1771,1873,,1
832,,1206,1873,,1
833,,1709,1587,,1
834,,2270,1613,,1
835,,1168,513,,1
836,,414,1675,,1
837,,2457,1490,,1
838,,1390,454,,1
839,,710,974,,1
840,,1793,341,,1
841,,519,259,,1
842,,2082,1405,,1
843,,1366,1202,,1
844,,621,1908,,1
845,,1740,1599,,1
846,,2368,1414,,1
847,,727,1272,,1
848,,1997,857,,1
849,,1436,17,,1
850,,269,17,,1
851,,3,17,,1
852,,1748,217,,1
853,,2273,1725,,1
854,,31,182,,1
855,,879,697,,1
856,,1738,135,,1
857,,1096,1826,,1
858,,343,724,,1
859,,1026,1752,,1
860,,1968,1789,,1
861,,2159,1482,,1
862,,1948,1335,,1
863,,1459,860,,1
864,,183,1225,,1
865,,2279,1263,,1
866,,2204,485,,1
867,,2534,8,,1
868,,785,252,,1
869,,469,1736,,1
870,,1181,832,,1
871,,1757,710,,1
872,,1799,608,,1
873,,2224,1579,,1
874,,849,1915,,1
875,,169,1085,,1
876,,1330,1123,,1
877,,765,1863,,1
878,,950,1517,,1
879,,1286,1841,,1
880,,35,210,,1
881,,1750,319,,1
882,,1376,1746,,1
883,,2544,643,,1
884,,995,1192,,1
885,,930,895,,1
886,,1141,1440,,1
887,,1529,1562,,1
888,,2010,1662,,1
889,,643,1406,,1
890,,146,922,,1
891,,2412,244,,1
892,,697,760,,1
