pk,jsondata,id,name,description,markup_description,family_pk,subfamily,icon
265,,nahali,Nahali,,,119,,cdd0000
266,,lakdargwa,Lak-Dargwa,,,120,Daghestanian,cff4400
267,,lezgic,Lezgic,,,120,Daghestanian,cff6600
268,,nakh,Nakh,,,120,,cff66ff
269,,avarandictsezic,Avar-Andic-Tsezic,,,120,Daghestanian,cffcc00
270,,nambikuaran,Nambikuaran,,,121,,cffff00
271,,natchez,Natchez,,,122,,cffffcc
272,,igboid,Igboid,,,123,Benue-Congo,cffffff
274,,bantoid,Bantoid,,,123,Benue-Congo,d0000dd
275,,kwa,Kwa,,,123,,d009900
277,,kru,Kru,,,123,,d990099
278,,nupoid,Nupoid,,,123,Benue-Congo,d9999ff
283,,platoid,Platoid,,,123,Benue-Congo,dff4400
286,,kainji,Kainji,,,123,Benue-Congo,dffcc00
287,,ubangi,Ubangi,,,123,Adamawa-Ubangi,dffff00
289,,idomoid,Idomoid,,,123,Benue-Congo,dffffff
293,,crossriver,Cross River,,,123,Benue-Congo,f66ff33
294,,defoid,Defoid,,,123,Benue-Congo,f990099
295,,edoid,Edoid,,,123,Benue-Congo,f9999ff
323,,nimboran,Nimboran,,,125,,sffffff
324,,nivkh,Nivkh,,,126,,t000000
325,,northwestcaucasian,Northwest Caucasian,,,127,,t0000dd
326,,oksapmin,Oksapmin,,,128,,t009900
327,,coosan,Coosan,,,129,,t66ff33
328,,alsea,Alsea,,,129,,t990099
329,,siuslawan,Siuslawan,,,129,,t9999ff
319,,berta,Berta,,,377,,sff66ff
330,,signlanguages,Sign Languages,,,130,,t99ffff
331,,creolesandpidgins,Creoles and Pidgins,,,130,,taa0000
332,,zapotecan,Zapotecan,,,131,,tcccccc
333,,subtiabatlapanec,Subtiaba-Tlapanec,,,131,,tdd0000
334,,mixtecan,Mixtecan,,,131,,tff4400
335,,chinantecan,Chinantecan,,,131,,tff6600
336,,otomian,Otomian,,,131,,tff66ff
337,,amuzgoan,Amuzgoan,,,131,,tffcc00
338,,pamean,Pamean,,,131,,tffff00
339,,popolocan,Popolocan,,,131,,tffffcc
340,,chichimec,Chichimec,,,131,,tffffff
341,,paezan,Páezan,,,132,,c000000
342,,panoan,Panoan,,,133,,c0000dd
343,,pebayaguan,Peba-Yaguan,,,134,,c009900
344,,yokuts,Yokuts,,,135,,c66ff33
345,,maiduan,Maiduan,,,135,,c990099
346,,chinookan,Chinookan,,,135,,c9999ff
347,,costanoan,Costanoan,,,135,Utian,c99ffff
348,,sahaptian,Sahaptian,,,135,,caa0000
349,,wintuan,Wintuan,,,135,,ccccccc
350,,miwok,Miwok,,,135,Utian,cdd0000
351,,molala,Molala,,,135,,cff4400
352,,tsimshianic,Tsimshianic,,,135,,cff6600
353,,klamathmodoc,Klamath-Modoc,,,135,,cff66ff
354,,puinave,Puinave,,,136,,cffcc00
355,,puquina,Puquina,,,137,,cffff00
356,,quechuan,Quechuan,,,138,,cffffcc
357,,saliba,Sáliba,,,139,,cffffff
358,,piaroa,Piaroa,,,139,,d000000
359,,salinan,Salinan,,,140,,d0000dd
360,,centralsalish,Central Salish,,,141,,d009900
361,,tillamook,Tillamook,,,141,,d66ff33
362,,interiorsalish,Interior Salish,,,141,,d990099
363,,bellacoola,Bella Coola,,,141,,d9999ff
