ID,NameOLD,NameNEW,MacroareaOLD,MacroareaNEW,LatitudeOLD,LatitudeNEW,LongitudeOLD,LongitudeNEW,GlottocodeOLD,GlottocodeNEW,ISO639P3code,FamilyOLD,FamilyNEW,SubfamilyOLD,SubfamilyNEW,GenusOLD,GenusNEW,GenusIcon,ISO_codesOLD,ISO_codesNEW,Samples_100,Samples_200,Country_IDOLD,Country_IDNEW,Source
blx,Biloxi,Biloxi,North America,North America,30.5,30.5,-88.66666667,-88.66666667,bilo1248,bilo1248,bll,Siouan,Siouan,,,Core Siouan,Ohio Valley Siouan,fffffff,bll,bll,0,0,US,US,Dorsey-and-Swanton-1912 Einaudi-1976
blg,Balangao,Balangao,Papunesia,Papunesia,17.16666667,17.16666667,121.1666667,121.1666667,bala1310,bala1310,blw,Austronesian,Austronesian,,,Northern Luzon,Northern Luzon,cffffff,blw,blw,0,0,PH,PH,Shetler-1976
blk,Balantak,Balantak,Papunesia,Papunesia,-0.833333333,-0.833333333,123.25,123.25,bala1315,bala1315,blz,Austronesian,Austronesian,,,Celebic,Celebic,dff6600,blz,blz,0,0,ID,ID,Busenitz-and-Busenitz-1991
bag,Bagirmi,Bagirmi,Africa,Africa,11.66666667,11.66666667,16,16,bagi1246,bagi1246,bmi,Central Sudanic,Central Sudanic,,,Bongo-Bagirmi,Bongo-Bagirmi,fffffcc,bmi,bmi,1,1,TD,TD,Gaden-1909 Stevenson-1969
mui,Muinane,Muinane,South America,South America,-1,-1,-72.5,-72.5,muin1242,muin1242,bmr,Huitotoan,Boran,,,Boran,Boran,ccccccc,bmr,bmr,0,0,CO,CO,Aschmann-1993 Huber-and-Reed-1992 Walton-and-Walton-1967 Walton-and-Walton-1975
bmr,Burum,Burum,Papunesia,Papunesia,-6.5,-6.5,147.3333333,147.3333333,buru1306,buru1306,bmu,Trans-New Guinea,Trans-New Guinea,,Finisterre-Huon,Finisterre-Huon,Huon,ccccccc,bmu,bmu,0,0,PG,PG,Gasaway-1997
bga,Benga,Benga,Africa,Africa,1.166666667,1.166666667,9.416666667,9.416666667,beng1282,beng1282,bng,Niger-Congo,Niger-Congo,Benue-Congo,Benue-Congo,Bantoid,Bantu,d0000dd,bng,bng,0,0,GQ GA,GQ GA,Mackey-and-Nassau-1892
bob,Bobangi,Bobangi,Africa,Africa,-1.333333333,-1.333333333,17.33333333,17.33333333,bang1354,bang1354,bni,Niger-Congo,Niger-Congo,Benue-Congo,Benue-Congo,Bantoid,Bantu,d0000dd,bni,bni,0,0,CD,CD,Bokamba-1975 Whitehead-1899
bnt,Bantik,Bantik,Papunesia,Papunesia,1.416666667,1.416666667,124.75,124.75,bant1286,bant1286,bnq,Austronesian,Austronesian,,,Sangiric,Sangiric,ddd0000,bnq,bnq,0,0,ID,ID,Sneddon-1984
bor,Bora,Bora,South America,South America,-2.166666667,-2.166666667,-72.33333333,-72.33333333,bora1263,bora1263,boa,Huitotoan,Boran,,,Boran,Boran,ccccccc,boa,boa,0,0,CO PE,CO PE,Aschmann-1993 Derbyshire-and-Payne-1990 Thiesen-1996 Wise-1978
