id,name,dbpedia_url
mji,Kim Mun,
mjk,Matukar,http://dbpedia.org/resource/Matukar_language
mal,Malayalam,http://dbpedia.org/resource/Malayalam_language
mjw,Karbi,
swv,Shekhawati,http://dbpedia.org/resource/Shekhawati_language
mke,Mawchi,
mkf,Miya,http://dbpedia.org/resource/Miya_language
mkd,Macedonian,http://dbpedia.org/resource/Macedonian_language
mai,Maithili,http://dbpedia.org/resource/Maithili_language
mks,"Mixtec, Silacayoapan",
mky,"Makian, East",http://dbpedia.org/resource/Taba_language
mla,Malo,http://dbpedia.org/resource/Tamambo_language
mle,Manambu,
mhj,Mogholi,http://dbpedia.org/resource/Moghol_language
zlm,Malay,
zsm,"Malay, Standard",
mlm,Mulam,
mlp,Bargam,
mlq,"Maninkakan, Western",
mlt,Maltese,http://dbpedia.org/resource/Maltese_language
mlu,To'abaita,
mlv,Motlav,http://dbpedia.org/resource/Mwotlap
nna,Nyangumarta,http://dbpedia.org/resource/Nyangumarta_language
mme,Mae,
mmn,Mamanwa,
mms,"Mam, Southern",
mmy,Migaama,http://dbpedia.org/resource/Migaama_language
mna,Mbula,http://dbpedia.org/resource/Mbula_language
umb,Umbundu,http://dbpedia.org/resource/Ovimbundu
mng,"Mnong, Eastern",
emk,"Maninkakan, Eastern",
mnk,Mandinka,http://dbpedia.org/resource/Mandinka_language
mkj,Mokilese,http://dbpedia.org/resource/Mokilese_language
mni,Meitei,http://dbpedia.org/resource/Meitei_language
mns,Mansi,http://dbpedia.org/resource/Mansi_language
mnv,Rennell-Bellona,
mnw,Mon,http://dbpedia.org/resource/Mon_language
mnx,Manikion,
mnz,Moni,
moc,Mocoví,http://dbpedia.org/resource/Mocov%C3%AD_language
moe,Montagnais,http://dbpedia.org/resource/Innu-aimun
mof,Mohegan-Montauk-Narragansett,http://dbpedia.org/resource/Mohegan-Montauk-Narragansett_language
mog,Mongondow,http://dbpedia.org/resource/Bolaang_Mongondow_language
moh,Mohawk,http://dbpedia.org/resource/Mohawk_language
mok,Morori,
lol,Mongo-Nkundu,http://dbpedia.org/resource/Mongo_language
mnr,Mono,http://dbpedia.org/resource/Mono_language_%28Native_American%29
mop,"Maya, Mopán",http://dbpedia.org/resource/Mopan_language
mor,Moro,
mot,Barí,http://dbpedia.org/resource/Bar%C3%AD_language
mov,Mohave,http://dbpedia.org/resource/Mojave_language
moy,Shekkacho,
moz,Mukulu,http://dbpedia.org/resource/Mukulu_language
mpb,Mullukmulluk,http://dbpedia.org/resource/Malak-Malak_language
mpc,Mangarayi,
mpe,Majang,http://dbpedia.org/resource/Majang_language
mph,Maung,
mpj,Martu Wangka,
mpk,Mbara,
mpm,"Mixtec, Yosondúa",
mpq,Matís,
mps,Dadibi,http://dbpedia.org/resource/Dadibi_language
min,Minangkabau,http://dbpedia.org/resource/Minangkabau_language
mqj,Mamasa,
mag,Magahi,http://dbpedia.org/resource/Magahi_language
mqs,"Makian, West",
mqy,Manggarai,
