pk,jsondata,id,name,description,markup_description,version
171,,90F,Adjoined relative clauses,,,1
173,,144W,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,,,1
174,,144O,Optional Double Negation in SOV languages,,,1
175,,144Q,SNegOV Order,,,1
176,,144L,The Position of Negative Morphemes in SOV Languages,,,1
178,,144C,Languages with different word order in negative clauses,,,1
179,,144T,The Position of Negative Morphemes in Verb-Initial Languages,,,1
181,,143D,Optional Triple Negation,,,1
182,,39B,Inclusive/Exclusive Forms in Pama-Nyungan,,,1
185,,109B,Other Roles of Applied Objects,,,1
186,,10B,Nasal Vowels in West Africa,,,1
187,,25B,Zero Marking of A and P Arguments,,,1
188,,21B,Exponence of Tense-Aspect-Mood Inflection,,,1
189,,108B,Productivity of the Antipassive Construction,,,1
190,,130B,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',,,1
192,,79B,Suppletion in Imperatives and Hortatives,,,1
27,,27A,Reduplication,,,2
37,,37A,Definite Articles,,,2
44,,44A,Gender Distinctions in Independent Personal Pronouns,,,2
48,,48A,Person Marking on Adpositions,,,2
49,,49A,Number of Cases,,,2
50,,50A,Asymmetrical Case-Marking,,,2
57,,57A,Position of Pronominal Possessive Affixes,,,2
58,,58A,Obligatory Possessive Inflection,,,2
59,,59A,Possessive Classification,,,2
63,,63A,Noun Phrase Conjunction,,,2
70,,70A,The Morphological Imperative,,,2
71,,71A,The Prohibitive,,,2
72,,72A,Imperative-Hortative Systems,,,2
74,,74A,Situational Possibility,,,2
75,,75A,Epistemic Possibility,,,2
76,,76A,Overlap between Situational and Epistemic Modal Marking,,,2
81,,81A,"Order of Subject, Object and Verb",,,2
82,,82A,Order of Subject and Verb,,,2
83,,83A,Order of Object and Verb,,,2
86,,86A,Order of Genitive and Noun,,,2
87,,87A,Order of Adjective and Noun,,,2
88,,88A,Order of Demonstrative and Noun,,,2
91,,91A,Order of Degree Word and Adjective,,,2
92,,92A,Position of Polar Question Particles,,,2
93,,93A,Position of Interrogative Phrases in Content Questions,,,2
100,,100A,Alignment of Verbal Person Marking,,,2
101,,101A,Expression of Pronominal Subjects,,,2
102,,102A,Verbal Person Marking,,,2
103,,103A,Third Person Zero of Verbal Person Marking,,,2
104,,104A,Order of Person Markers on the Verb,,,2
107,,107A,Passive Constructions,,,2
116,,116A,Polar Questions,,,2
117,,117A,Predicative Possession,,,2
121,,121A,Comparative Constructions,,,2
125,,125A,Purpose Clauses,,,2
126,,126A,'When' Clauses,,,2
127,,127A,Reason Clauses,,,2
128,,128A,Utterance Complement Clauses,,,2
136,,136A,M-T Pronouns,,,2
137,,137A,N-M Pronouns,,,2
143,,143F,Postverbal Negative Morphemes,,,2
148,,144J,SVNegO Order,,,2
152,,144A,"Position of Negative Word With Respect to Subject, Object, and Verb",,,2
156,,144I,SNegVO Order,,,2
162,,144K,SVONeg Order,,,2
163,,144B,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,,,2
167,,144D,The Position of Negative Morphemes in SVO Languages,,,2
169,,143E,Preverbal Negative Morphemes,,,2
172,,143A,Order of Negative Morpheme and Verb,,,2
177,,144H,NegSVO Order,,,2
180,,143G,Minor morphological means of signaling negation,,,2
183,,137B,M in Second Person Singular,,,2
184,,136B,M in First Person Singular,,,2
191,,58B,Number of Possessive Nouns,,,2
