pk,jsondata,id,name,description,markup_description,latitude,longitude,version
42,,cht,Chatino (Nopala),,,16.0833333333,-97.1666666667,1
43,,ckh,Cheke Holo,,,-8.33333333333,159.666666667,1
44,,csc,Chinantec (Sochiapan),,,17.75,-96.6666666667,1
45,,cpw,Chippewa (Red Lake and Pillager),,,48,-95,1
47,,cly,Chulym,,,54.3333333333,89.6666666667,1
48,,cwe,Columbia-Wenatchi,,,47.5,-120,1
51,,dda,Dhuwal (Dätiwuy),,,-12.1666666667,136.25,1
52,,dgi,Dogri,,,33,75,1
53,,dol,Dolgan,,,71.25,98,1
54,,dbr,Dutch (Brabantic),,,50.75,4.5,1
55,,dli,Dutch (Limburg),,,51,5.5,1
56,,duz,Dutch (Zeeuws),,,51.5,3.75,1
57,,els,Elseng,,,-3,140.5,1
59,,ets,Etsako,,,7.25,6.5,1
60,,fiw,Fijian (Wayan),,,-17,177.3,1
61,,fea,Frisian (Eastern),,,53.5833333333,7.5,1
62,,fno,Frisian (North),,,54.5,9,1
63,,fli,Ful (Liptako),,,13.5,0.5,1
64,,fbf,Fula (Burkina Faso),,,14,0,1
66,,fum,Fulfulde (Maasina),,,15,-5,1
67,,gml,Gamilaraay,,,-29.8333333333,149.5,1
68,,gpz,German (Appenzell),,,47.3333333333,9.33333333333,1
69,,gba,German (Bavarian),,,49,11.5,1
70,,gbl,German (Berlin),,,52.5,13.3333333333,1
71,,gbe,German (Bern),,,47,7.41666666667,1
72,,gha,German (Hannover),,,52.4166666667,9.66666666667,1
73,,gma,German (Mansfeldisch),,,51.5833333333,11.5,1
74,,gos,German (Ostschweiz),,,47.4166666667,9.25,1
8,,awk,Akwa,,,10.0833333333,6.33333333333,2
85,,gdr,Gidar,,,10,14,1
86,,giz,Giziga,,,10.3333333333,14.1666666667,1
88,,gcy,Greek (Cypriot),,,34.75,33,1
89,,gdl,Guadeloupe Creole,,,16.25,-61.5,1
1905,,mon,Mon,,,14.8333333333,100.5,1
90,,guq,Guaque,,,1,-72.0833333333,1
91,,gue,Guere,,,6.66666666667,-7.75,1
92,,gfr,Guianese French Creole,,,5,-53,1
93,,gbc,Guinea Bissau Crioulo,,,12,-15,1
94,,gmt,Gumatj,,,-12.5,135.5,1
96,,gro,Guro,,,7,-6,1
97,,gus,Gusii,,,-0.75,34.8333333333,1
98,,hsl,Haisla,,,54,-128.75,1
99,,hrr,Harari,,,9.25,42.1666666667,1
100,,hav,Havasupai,,,35.75,-112.5,1
101,,hia,Hianacoto,,,0.833333333333,-71,1
103,,hre,Hre,,,14.6666666667,108.666666667,1
104,,hyo,Hyow,,,22.0833333333,92.4166666667,1
106,,ibi,Ibibio,,,5.25,7.83333333333,1
107,,ipk,Indo-Pakistani Sign Language (Karachi dialect),,,28,68,1
110,,isl,International Sign,,,40,-170,1
111,,ish,Ishkashmi,,,37,72,1
113,,itb,Italian (Bologna),,,44.5,11.3333333333,1
114,,ifi,Italian (Fiorentino),,,43.75,11.25,1
115,,itg,Italian (Genoa),,,44.4166666667,8.95,1
116,,itn,Italian (Napolitanian),,,40.9166666667,14.25,1
117,,itu,Italian (Turinese),,,45,7.66666666667,1
119,,izh,Izhor,,,59,29,1
120,,jcr,Jamaican Creole,,,18.1666666667,-77.25,1
121,,jib,Jibbali,,,17.5,55,1
122,,jrn,Juruna,,,-5,-54.5,1
123,,kbi,Kabui,,,24.8333333333,94,1
124,,kgm,Kagoma,,,9.25,8.16666666667,1
125,,kiq,Kalmyk (Issyk-Kul),,,42.4166666667,78.3333333333,1
127,,ksu,Kashubian,,,54,18,1
133,,ksl,Kenyan Sign Language,,,0,38,1
136,,kfy,Kirghiz (Fu-Yu),,,47.75,124.416666667,1
137,,kij,Kitja,,,-17.5,127.75,1
138,,kou,Kom,,,6.25,10.3333333333,1
139,,ksp,Kosop,,,9.91666666667,15.9166666667,1
141,,kym,Krymchak,,,45,34.25,1
142,,krz,Kryz,,,41.0833333333,48,1
143,,kua,Kualan,,,-0.416666666667,110.416666667,1
145,,lha,Laha,,,21.5833333333,103.916666667,1
146,,lns,Lamnso',,,6.16666666667,10.75,1
147,,lgp,Língua Gestual Portuguesa,,,40,-8,1
148,,lma,Loma,,,8,-9.5,1
87,,grt,Gorontalo,,,0.5,122,2
105,,ibn,Ibanag,,,17.5,121.666666667,2
162,,mli,Mali,,,-4.83333333333,152.25,1
163,,mbu,Manambu,,,-4.25,142.833333333,1
164,,mma,Mandaic (Modern),,,31,48.5,1
166,,mnk,Maninka,,,10.5,-9.5,1
167,,mkn,Mankanya,,,12.0833333333,-15.9166666667,1
