language_id,altname_name,altname_type,relation
chy,Chayahuita,ruhlen,
kku,Korku,ruhlen,
hak,Kejia,ruhlen,
hyo,Khyang,ruhlen,
ho,Ho,ruhlen,
tbs,Tabasaran,ruhlen,
tlo,Tobelo,ruhlen,
ych,Yupik (Central),ruhlen,
yun,Yupik (Central),ruhlen,
ypk,Yupik (Central),ruhlen,
mij,Kaman,ruhlen,
arw,Armenian,ruhlen,
arm,Armenian,ruhlen,
arz,Armenian,ruhlen,
kpw,Pho,ruhlen,
oka,Okanagan,ruhlen,
gla,Gelao,ruhlen,
agc,Agta,ruhlen,
aso,Altai,ruhlen,
niu,Niuean,ruhlen,
mig,Migama,ruhlen,
ggu,Gureng Gureng,ruhlen,
mnx,Manx,ruhlen,
mlu,Maleu,ruhlen,
gay,Gayo,ruhlen,
ctc,Cuicatec,ruhlen,
krt,Karata,ruhlen,
gut,Gurma,ruhlen,
grm,Gurma,ruhlen,
nab,Nabak,ruhlen,
hia,Hianacoto,ruhlen,
skm,Sukuma,ruhlen,
yim,Yimas,ruhlen,
fox,Fox,ruhlen,
fin,Finnish,ruhlen,
ndg,Ndogo,ruhlen,
chw,Cham (West),ruhlen,
jun,Juang,ruhlen,
knn,Kanauri,ruhlen,
bgv,Bagulal,ruhlen,
ung,Ungarinjin,ruhlen,
pnr,Panare,ruhlen,
sup,Suppire,ruhlen,
snh,Sinhalese,ruhlen,
mym,Malayalam,ruhlen,
nau,Nauruan,ruhlen,
moc,Mocha,ruhlen,
til,Tillamook,ruhlen,
tsn,Tsonga,ruhlen,
sme,Seme,ruhlen,
ykt,Yakut,ruhlen,
lnd,Linda,ruhlen,
sao,Saho,ruhlen,
mmb,Mangap,ruhlen,
bku,Kwiri,ruhlen,
puk,Phalok,ruhlen,
yuw,Gamilaraay,ruhlen,
gml,Gamilaraay,ruhlen,
crn,Cornish,ruhlen,
nup,Nupe,ruhlen,
klh,Kalasha,ruhlen,
tru,Trumai,ruhlen,
brw,Bru,ruhlen,
bru,Bru,ruhlen,
skn,Guahibo,ruhlen,
ghb,Guahibo,ruhlen,
woi,Woisika,ruhlen,
dhr,Thargari,ruhlen,
rem,Remo,ruhlen,
lat,Latvian,ruhlen,
kug,Mandarin,ruhlen,
mnd,Mandarin,ruhlen,
dok,Ngombe (Bantu),ruhlen,
nbe,Ngombe (Bantu),ruhlen,
mbe,Mbede,ruhlen,
cyv,Cayuvava,ruhlen,
ane,Anem,ruhlen,
mnr,Mandar,ruhlen,
nsy,Assyrian,ruhlen,
mav,Maring,ruhlen,
wyn,Wayana,ruhlen,
der,Dera,ruhlen,
moh,Mohawk,ruhlen,
pnn,Pangasinan,ruhlen,
bbw,Gunwinygu,ruhlen,
zso,Zulu,ruhlen,
zno,Zulu,ruhlen,
zul,Zulu,ruhlen,
iri,Gaelic,ruhlen,
sio,Sio,ruhlen,
chi,Chimariko,ruhlen,
kpo,Kposo,ruhlen,
mou,Moru,ruhlen,
bub,Bubi,ruhlen,
aar,Ari,ruhlen,
tsf,Colorado,ruhlen,
kri,Kiriri,ruhlen,
myr,Matses,ruhlen,
msn,Maisin,ruhlen,
cve,Chuave,ruhlen,
pis,Pisa,ruhlen,
sah,Sahu,ruhlen,
dob,Dobel,ruhlen,
usa,Wanuma,ruhlen,
zen,Zenaga,ruhlen,
bti,Betoi,ruhlen,
ved,Vedda,ruhlen,
kgr,Kaguru,ruhlen,
run,Runga,ruhlen,
kfe,Kurumfe,ruhlen,
yli,Ngalik,ruhlen,
tao,Tarao,ruhlen,
kya,Gugu Yalandyi,ruhlen,
cqt,Chiquito,ruhlen,
lmg,Lamang,ruhlen,
bhn,Bahinemo,ruhlen,
cog,Cagaba,ruhlen,
tne,Temne,ruhlen,
kmt,Kemtuk,ruhlen,
mpu,Amberbaken,ruhlen,
hmb,Huambisa,ruhlen,
ysl,Siberian Yupik,ruhlen,
jrn,Yuruna,ruhlen,
mhm,Mah Meri,ruhlen,
qch,Quiche,ruhlen,
dou,Taori-So,ruhlen,
olu,Oluta,ruhlen,
cem,Cemuhi,ruhlen,
tld,Talaud,ruhlen,
hlp,Walapai,ruhlen,
tks,Teke (South),ruhlen,
vaf,Vafsi,ruhlen,
tag,Tagalog,ruhlen,
qaw,Qawasqar,ruhlen,
dms,Dimasa,ruhlen,
blq,Bole,ruhlen,
yah,Yamana,ruhlen,
blk,Balantak,ruhlen,
aly,Alyawarra,ruhlen,
mny,Margany,ruhlen,
lon,Loniu,ruhlen,
awn,Awngi,ruhlen,
gil,Gilaki,ruhlen,
cla,Clallam,ruhlen,
eml,Mbaloh,ruhlen,
jeb,Jebero,ruhlen,
neh,Nehan,ruhlen,
ntu,Nenets,ruhlen,
nen,Nenets,ruhlen,
crg,Guarani,ruhlen,
gua,Guarani,ruhlen,
bem,Bemba,ruhlen,
bna,Banawa,ruhlen,
amx,Ikundun,ruhlen,
hil,Hiligaynon,ruhlen,
som,Somali,ruhlen,
lah,Lahu,ruhlen,
ass,Assamese,ruhlen,
tbl,Tanah Merah(2),ruhlen,
mba,Mba,ruhlen,
ogb,Ogbia,ruhlen,
for,Fore,ruhlen,
but,Buriat,ruhlen,
awt,Autu,ruhlen,
alw,Alawa,ruhlen,
nif,Niuafo'ou,ruhlen,
ant,Angaataha,ruhlen,
mbt,Mangbetu,ruhlen,
ura,Ura,ruhlen,
mss,Miwok (Southern Sierra),ruhlen,
tbu,Tubu,ruhlen,
tgl,Monpa,ruhlen,
efi,Efik,ruhlen,
sba,Saliba,ruhlen,
tsp,Tamil,ruhlen,
tml,Tamil,ruhlen,
luo,Luo,ruhlen,
awp,Cuaiquer,ruhlen,
tic,Ticuna,ruhlen,
pec,Paya,ruhlen,
apc,Apache (Eastern),ruhlen,
apj,Apache (Eastern),ruhlen,
nyr,Nyangumarta,ruhlen,
sha,Shan,ruhlen,
muy,Muyuw,ruhlen,
tmc,Timucua,ruhlen,
twe,Tarahumara,ruhlen,
tce,Tarahumara,ruhlen,
ppc,Piapoco,ruhlen,
dig,Digaro,ruhlen,
lua,Nielim,ruhlen,
chp,Chipewyan,ruhlen,
bni,Bini,ruhlen,
jeh,Jeh,ruhlen,
wai,Waiwai,ruhlen,
bhi,Bhili,ruhlen,
udm,Udmurt,ruhlen,
nrm,Narom,ruhlen,
cmy,Chontal,ruhlen,
chx,Chontal,ruhlen,
cho,Chontal,ruhlen,
ewo,Ewondo,ruhlen,
tif,Tifal,ruhlen,
khl,Khalaj,ruhlen,
mbl,Mbole,ruhlen,
lim,Limbu,ruhlen,
kij,Kitja,ruhlen,
iva,Ivatanen,ruhlen,
hnn,Hanunoo,ruhlen,
mya,Maya (South Halmahera),ruhlen,
mks,Makassarese,ruhlen,
mmu,Minangkabau,ruhlen,
min,Minangkabau,ruhlen,
poc,Pocomam,ruhlen,
pcm,Pocomam,ruhlen,
sru,Selaru,ruhlen,
bao,Pao-an,ruhlen,
guu,Guugu Yimidhirr,ruhlen,
blu,Luba-Kasai,ruhlen,
cil,Luba-Kasai,ruhlen,
cua,Cua,ruhlen,
gah,Gahuku,ruhlen,
wry,Waray,ruhlen,
mzn,Mazanderani,ruhlen,
cmx,Comox,ruhlen,
mpo,Myene,ruhlen,
hpd,Hupda,ruhlen,
ysi,Sirenik,ruhlen,
goe,Goemai,ruhlen,
sry,Siraya,ruhlen,
wrb,Kuurn Kopan Noot,ruhlen,
rwa,Rawa,ruhlen,
ngr,Ngarinyeri,ruhlen,
tat,Tatana,ruhlen,
wor,Worora,ruhlen,
lan,Lango,ruhlen,
pno,Paiute (Northern),ruhlen,
bre,Breton,ruhlen,
mbz,Mbe,ruhlen,
amu,Amuesha,ruhlen,
fua,Fula,ruhlen,
fma,Fula,ruhlen,
fbf,Fula,ruhlen,
fgo,Fula,ruhlen,
fgu,Fula,ruhlen,
fum,Fula,ruhlen,
fus,Fula,ruhlen,
fni,Fula,ruhlen,
ain,Ainu,ruhlen,
zay,Zayse,ruhlen,
nnm,Tuvalu,ruhlen,
tvl,Tuvalu,ruhlen,
wsk,Waskia,ruhlen,
mel,Melanau,ruhlen,
doy,Dayãyo,ruhlen,
ayw,Aiwo,ruhlen,
ga,Gã,ruhlen,
gun,Yambasa,ruhlen,
koy,Koya,ruhlen,
kim,Kimaghana,ruhlen,
irm,Irish,ruhlen,
ird,Irish,ruhlen,
iri,Irish,ruhlen,
had,Hadza,ruhlen,
dbd,Taita,ruhlen,
tng,Tongan,ruhlen,
sik,Sikka,ruhlen,
mru,Maru,ruhlen,
nep,Nepali,ruhlen,
pba,Pima (Bajo),ruhlen,
snn,Soninke,ruhlen,
jam,Djamindjung,ruhlen,
kod,Kodagu,ruhlen,
arr,Aranda,ruhlen,
awe,Aranda,ruhlen,
amp,Aranda,ruhlen,
wuc,Wu,ruhlen,
gwa,Gwari,ruhlen,
tan,Tangale,ruhlen,
tur,Turkish,ruhlen,
bun,Buin,ruhlen,
yar,Yareba,ruhlen,
mrn,Maranao,ruhlen,
goa,Goajiro,ruhlen,
mcd,Macedonian,ruhlen,
chr,Chrau,ruhlen,
ach,Guayaki,ruhlen,
obo,Obolo,ruhlen,
yur,Yurok,ruhlen,
bya,Byangsi,ruhlen,
ma,Amadi,ruhlen,
lrd,Lardil,ruhlen,
kab,Kabardian,ruhlen,
twn,Picuris,ruhlen,
tak,Takia,ruhlen,
awa,Awa,ruhlen,
kad,Kadugli,ruhlen,
nat,Natchez,ruhlen,
ory,Uria,ruhlen,
iba,Iban,ruhlen,
cld,Syriac,ruhlen,
ykp,Yukpa,ruhlen,
tnl,Tanana,ruhlen,
chm,Chamalal,ruhlen,
uru,Uru,ruhlen,
msh,Marshallese,ruhlen,
boa,Boazi,ruhlen,
apu,Apurina,ruhlen,
kma,Kamayura,ruhlen,
ksh,Kashaya,ruhlen,
tiv,Tiv,ruhlen,
snt,Sentani,ruhlen,
lag,Logone,ruhlen,
bnj,Bandjalang,ruhlen,
gid,Bandjalang,ruhlen,
byu,Bandjalang,ruhlen,
bca,Bandjalang,ruhlen,
bwa,Bandjalang,ruhlen,
nng,Nyanga,ruhlen,
dhm,Dhimal,ruhlen,
bys,Bayso,ruhlen,
lha,Laha,ruhlen,
blc,Baluchi,ruhlen,
ser,Seri,ruhlen,
igb,Igbo,ruhlen,
see,Sedeq,ruhlen,
biq,Bilaan (Sarangani),ruhlen,
fus,Fulani,ruhlen,
fni,Fulani,ruhlen,
lac,Lacandon,ruhlen,
brf,Riff,ruhlen,
khv,Xvarshi,ruhlen,
poh,Ponapean,ruhlen,
len,Lenakel,ruhlen,
kmo,Koiari (Mountain),ruhlen,
boq,Adi,ruhlen,
boj,Adi,ruhlen,
gal,Adi,ruhlen,
mil,Adi,ruhlen,
bum,Buma,ruhlen,
ayi,Anyi,ruhlen,
atc,Atchin,ruhlen,
pga,Pilaga,ruhlen,
nit,Nitinat,ruhlen,
kmr,Kamoro,ruhlen,
sug,Sungor,ruhlen,
mgo,Mongo,ruhlen,
tsg,Tausug,ruhlen,
kwo,Kwoma,ruhlen,
lui,Luiseño,ruhlen,
tgk,Tigak,ruhlen,
nun,Nung,ruhlen,
ano,Nung,ruhlen,
tmg,Tamagario,ruhlen,
shm,Shambala,ruhlen,
mgu,Musgu,ruhlen,
mkl,Maklew,ruhlen,
tbe,Tigre,ruhlen,
tgr,Tigre,ruhlen,
wel,Welsh,ruhlen,
err,Sie,ruhlen,
srr,Serrano,ruhlen,
sae,Saek,ruhlen,
die,Diegueño,ruhlen,
tja,Diegueño,ruhlen,
kni,Koma,ruhlen,
mcc,Chimu,ruhlen,
nua,Nuaulu,ruhlen,
bsk,Bashkir,ruhlen,
chc,Chechen,ruhlen,
jpr,Japreria,ruhlen,
amo,Amo,ruhlen,
aze,Azerbaijani,ruhlen,
azi,Azerbaijani,ruhlen,
wat,Wadjari,ruhlen,
kok,Tripuri,ruhlen,
grb,Grebo,ruhlen,
kwa,Kwaio,ruhlen,
eud,Opata,ruhlen,
kti,Southern Kati,ruhlen,
nan,Nandi,ruhlen,
pai,Paiwan,ruhlen,
ess,Esselen,ruhlen,
sro,Siroi,ruhlen,
can,Candoshi,ruhlen,
hal,Halia,ruhlen,
mkr,Mikarew,ruhlen,
wao,Waorani,ruhlen,
sbg,Sama (North),ruhlen,
say,Sayula,ruhlen,
brs,Barasano (Southern),ruhlen,
bfd,Biafada,ruhlen,
kio,Kiowa,ruhlen,
trn,Terena,ruhlen,
tst,Huihui,ruhlen,
muu,Munduruku,ruhlen,
sng,Sinagoro,ruhlen,
ram,Rama,ruhlen,
pta,Dubea,ruhlen,
wog,Wogamusin,ruhlen,
djn,Djinang,ruhlen,
xok,Xokleng,ruhlen,
mea,Meax,ruhlen,
tof,Karagas,ruhlen,
loz,Lozi,ruhlen,
cnt,Yue,ruhlen,
cwe,Columbian,ruhlen,
hno,Haida,ruhlen,
hai,Haida,ruhlen,
nhh,Nahuatl,ruhlen,
nhm,Nahuatl,ruhlen,
nhn,Nahuatl,ruhlen,
nht,Nahuatl,ruhlen,
nmp,Nahuatl,ruhlen,
nmi,Nahuatl,ruhlen,
nhu,Nahuatl,ruhlen,
npa,Nahuatl,ruhlen,
nsz,Nahuatl,ruhlen,
nhx,Nahuatl,ruhlen,
nhp,Nahuatl,ruhlen,
nhc,Nahuatl,ruhlen,
emb,Embera,ruhlen,
chl,Chehalis (Upper),ruhlen,
yal,Kosarek,ruhlen,
mro,Moro,ruhlen,
kik,Kikuyu,ruhlen,
mme,Mari,ruhlen,
mah,Mari,ruhlen,
ing,Ingush,ruhlen,
man,Mano,ruhlen,
gus,Gusii,ruhlen,
pen,Pengo,ruhlen,
toj,Tojolabal,ruhlen,
msy,Magar,ruhlen,
mag,Magar,ruhlen,
jug,Tangsa,ruhlen,
lun,Tangsa,ruhlen,
pia,Piaroa,ruhlen,
geo,Georgian,ruhlen,
agr,Aguaruna,ruhlen,
cch,Chocho,ruhlen,
nev,Pima,ruhlen,
ood,Pima,ruhlen,
kat,Kate,ruhlen,
tnn,Tunen,ruhlen,
iir,Indonesian,ruhlen,
inj,Indonesian,ruhlen,
ind,Indonesian,ruhlen,
gji,Gurindji,ruhlen,
yns,Yanzi,ruhlen,
san,Sango,ruhlen,
mao,Maori,ruhlen,
nkn,Nkonya,ruhlen,
mtu,Motu,ruhlen,
ika,Ica,ruhlen,
cul,Culina,ruhlen,
bki,Bakairi,ruhlen,
obg,Ogbronuagum,ruhlen,
tmk,Tumak,ruhlen,
cin,Chumash,ruhlen,
cba,Chumash,ruhlen,
tlf,Telefol,ruhlen,
jlu,Jur,ruhlen,
pnu,Punu,ruhlen,
amz,Amuzgo,ruhlen,
dam,Malayo,ruhlen,
fur,Fur,ruhlen,
bir,Birom,ruhlen,
kdg,Karipuna,ruhlen,
gmb,Guambiano,ruhlen,
jwr,Yamamadi,ruhlen,
jmm,Yamamadi,ruhlen,
lit,Lithuanian,ruhlen,
yei,Yey,ruhlen,
wrl,Warlpiri,ruhlen,
ice,Icelandic,ruhlen,
haw,Hawaiian,ruhlen,
mac,Makushi,ruhlen,
tnk,Lavongai,ruhlen,
taz,Talysh,ruhlen,
tls,Talysh,ruhlen,
nha,Nhanda,ruhlen,
nze,Zeme,ruhlen,
crj,Carijona,ruhlen,
umu,Carijona,ruhlen,
kyo,Kanyok,ruhlen,
yng,Yinggarda,ruhlen,
agm,Angami,ruhlen,
mdu,Mundu,ruhlen,
det,Deti,ruhlen,
mko,Mokulu,ruhlen,
tts,Tati,ruhlen,
sra,Sranan,ruhlen,
yay,Yay,ruhlen,
cma,Chimila,ruhlen,
ale,Aleut,ruhlen,
aea,Aleut,ruhlen,
mot,Siwai,ruhlen,
mrk,Murik,ruhlen,
clc,Kolakngat,ruhlen,
bar,Bari,ruhlen,
kuk,Bari,ruhlen,
bgr,Furu,ruhlen,
ets,Iyekhee,ruhlen,
awy,Awyi,ruhlen,
vep,Vepsian,ruhlen,
daa,Kaili,ruhlen,
kli,Kaili,ruhlen,
rut,Rutul,ruhlen,
yqy,Yaqay,ruhlen,
one,One,ruhlen,
mad,Madi,ruhlen,
wol,Woleaian,ruhlen,
lmn,Banjari,ruhlen,
eng,English,ruhlen,
hol,Holoholo,ruhlen,
cyn,Cheyenne,ruhlen,
kyg,Kenyang,ruhlen,
amh,Amharic,ruhlen,
htc,Huastec,ruhlen,
isa,Krisa,ruhlen,
mhc,Mahican,ruhlen,
ebi,Ebira,ruhlen,
wam,Wambaya,ruhlen,
bet,Bete,ruhlen,
new,Newari,ruhlen,
nwd,Newari,ruhlen,
rng,Rengao,ruhlen,
tla,Tolai,ruhlen,
qay,Quechua A,ruhlen,
mcs,Miwok (Central Sierra),ruhlen,
bon,Bongu,ruhlen,
tmn,Ronge,ruhlen,
wll,Uvea (East),ruhlen,
lin,Losengo,ruhlen,
cha,Chamorro,ruhlen,
fut,Futuna-Aniwa,ruhlen,
tbt,Yotafa,ruhlen,
nvs,Gilyak,ruhlen,
niv,Gilyak,ruhlen,
coc,Cocama,ruhlen,
teo,Teop,ruhlen,
nne,Nengone,ruhlen,
ill,Illinois,ruhlen,
wik,Yokuts (Valley),ruhlen,
ywl,Yokuts (Valley),ruhlen,
hnk,Hinux,ruhlen,
toa,Toaripi,ruhlen,
oi,Oi,ruhlen,
afr,Afrikaans,ruhlen,
fre,French,ruhlen,
moo,More,ruhlen,
xas,Xasonke,ruhlen,
ava,Avar,ruhlen,
mxa,Mixtec,ruhlen,
mxc,Mixtec,ruhlen,
mxj,Mixtec,ruhlen,
mxo,Mixtec,ruhlen,
mxp,Mixtec,ruhlen,
mxy,Mixtec,ruhlen,
mxt,Mixtec,ruhlen,
mxz,Mixtec,ruhlen,
mja,Mixtec,ruhlen,
mxm,Mixtec,ruhlen,
mxu,Mixtec,ruhlen,
mjc,Mixtec,ruhlen,
mxl,Mixtec,ruhlen,
tuk,Tukang-Besi,ruhlen,
guj,Gujarati,ruhlen,
pwn,Pawnee,ruhlen,
por,Portuguese,ruhlen,
anj,Aneityum,ruhlen,
kor,Korean,ruhlen,
lus,Lushootseed,ruhlen,
gav,Gavião,ruhlen,
cub,Cubeo,ruhlen,
oko,Oriya,ruhlen,
oya,Oriya,ruhlen,
apl,Apalai,ruhlen,
dhb,Darambal,ruhlen,
mkb,Miwok (Coast),ruhlen,
hei,Heiltsuk,ruhlen,
sue,Suena,ruhlen,
krr,Kairiru,ruhlen,
bnm,Binumarien,ruhlen,
cga,Chaga,ruhlen,
poa,Fwai,ruhlen,
tol,Jicaque,ruhlen,
ukr,Ukrainian,ruhlen,
hwr,Gorani,ruhlen,
prt,Piratapuyo,ruhlen,
gir,Kulaal,ruhlen,
kha,Khalkha,ruhlen,
bul,Bulgarian,ruhlen,
iwm,Iwam,ruhlen,
hat,Hattam,ruhlen,
ymi,Yami,ruhlen,
zim,Zimakani,ruhlen,
xho,Xhosa,ruhlen,
yak,"Yaka (Bantu, Zone H)",ruhlen,
lil,Lillooet,ruhlen,
luc,Luchazi,ruhlen,
wrd,Wardaman,ruhlen,
cop,Coptic,ruhlen,
big,Yulu,ruhlen,
yul,Yulu,ruhlen,
brj,Burji,ruhlen,
sva,Svan,ruhlen,
kly,Kala Lagaw Ya,ruhlen,
iaa,Iaai,ruhlen,
sri,Siriano,ruhlen,
pok,Rawo,ruhlen,
ndi,Ngbandi,ruhlen,
ygd,Duru,ruhlen,
gnn,Wunambal,ruhlen,
kln,Kolana,ruhlen,
hlu,Halkomelem,ruhlen,
cay,Cayapa,ruhlen,
nal,Nalik,ruhlen,
aiz,Aizi,ruhlen,
apk,A-Pucikwar,ruhlen,
tmp,Tampulma,ruhlen,
lar,Laragiya,ruhlen,
pat,Mumeng,ruhlen,
wth,Wathawurung,ruhlen,
hmi,Meneca,ruhlen,
deg,Degema,ruhlen,
igs,Gaam,ruhlen,
ao,Ao,ruhlen,
cam,Camsa,ruhlen,
kyn,Koyukon,ruhlen,
pau,Paumari,ruhlen,
mgd,Mongodow,ruhlen,
hsl,Haisla,ruhlen,
tnt,Tontemboan,ruhlen,
zqc,Zoque,ruhlen,
zqo,Zoque,ruhlen,
zfl,Zoque,ruhlen,
zqr,Zoque,ruhlen,
zch,Zoque,ruhlen,
ama,Longa,ruhlen,
pip,Pipil,ruhlen,
srl,"Sorbian, Lower",ruhlen,
koi,Koiari,ruhlen,
sub,Subia,ruhlen,
mde,Mende,ruhlen,
kyl,Kayah,ruhlen,
wal,Valman,ruhlen,
yaw,Yava,ruhlen,
mhi,Marathi,ruhlen,
god,Godoberi,ruhlen,
slb,Suau,ruhlen,
nku,Dongolawi,ruhlen,
nbd,Dongolawi,ruhlen,
gud,Gude,ruhlen,
cab,Cabecar,ruhlen,
kap,Kela,ruhlen,
mar,Maricopa,ruhlen,
svk,Slovak,ruhlen,
shu,Shuswap,ruhlen,
mrr,Maringarr,ruhlen,
oku,Oku,ruhlen,
ahs,Eastern Arabic,ruhlen,
awi,Awin,ruhlen,
atq,Alutiiq,ruhlen,
emc,Chami,ruhlen,
mmz,Mam,ruhlen,
mam,Mam,ruhlen,
tsh,Shoshone,ruhlen,
swr,Shoshone,ruhlen,
sho,Shoshone,ruhlen,
que,Yuma (Yuman),ruhlen,
mov,Movima,ruhlen,
mgg,Monguor,ruhlen,
ahu,Aghu,ruhlen,
tsz,Dido,ruhlen,
bbf,Bobo-Fing,ruhlen,
arb,Arabela,ruhlen,
svc,Kashubian,ruhlen,
ksu,Kashubian,ruhlen,
tlp,Tlapanec,ruhlen,
tul,Tulu,ruhlen,
thy,Thaayorre,ruhlen,
shk,Shipibo,ruhlen,
tam,Tamang,ruhlen,
sam,Samoan,ruhlen,
moe,Mordvin,ruhlen,
luy,Luyia,ruhlen,
ndu,Ndumu,ruhlen,
djp,Dhuwal,ruhlen,
gmt,Dhuwal,ruhlen,
dda,Dhuwal,ruhlen,
gmz,Bega,ruhlen,
mbi,Bambui,ruhlen,
hre,Hrê,ruhlen,
ngn,Ngandi,ruhlen,
bpb,Bahnar,ruhlen,
mdn,Mandan,ruhlen,
ign,Ignaciano,ruhlen,
sob,Sobei,ruhlen,
ari,Lae,ruhlen,
rim,Rimi,ruhlen,
jbt,Yabuti,ruhlen,
wet,Letri Lgona,ruhlen,
slo,Slovene,ruhlen,
ghr,Bunan,ruhlen,
ats,Atsugewi,ruhlen,
agw,Alagwa,ruhlen,
unm,Unami,ruhlen,
mwl,Miwok (Lake),ruhlen,
tsw,Tswana,ruhlen,
ntj,Western Desert Language,ruhlen,
wdo,Western Desert Language,ruhlen,
sor,Sora,ruhlen,
mup,Sura,ruhlen,
gnd,Ga'anda,ruhlen,
ntn,Tayari,ruhlen,
epe,Saija,ruhlen,
dmk,Dumaki,ruhlen,
lul,Lule,ruhlen,
ckl,Chinook (Lower),ruhlen,
buw,Bulu,ruhlen,
ppi,Pitta-Pitta,ruhlen,
msm,Musom,ruhlen,
ykm,Yakoma,ruhlen,
sti,Stieng,ruhlen,
pol,Polish,ruhlen,
nin,Ningil,ruhlen,
kom,Komo,ruhlen,
ady,Adygh,ruhlen,
adt,Adygh,ruhlen,
ash,Adygh,ruhlen,
bil,Bilua,ruhlen,
tin,Tiri,ruhlen,
bat,Batak,ruhlen,
jrw,Jarawa,ruhlen,
sis,Babatana,ruhlen,
wag,Wagiman,ruhlen,
klz,Kalanga,ruhlen,
cuu,Trukese,ruhlen,
uby,Ubyx,ruhlen,
sno,Saami (Northern),ruhlen,
baj,Orang Laut,ruhlen,
kkn,Konkani,ruhlen,
nnt,Nanticoke,ruhlen,
ngz,Ngizim,ruhlen,
evn,Even,ruhlen,
abk,Abkhaz,ruhlen,
bdk,Budux,ruhlen,
tda,Toda,ruhlen,
kji,Kirmanji,ruhlen,
kbl,Kabyle,ruhlen,
hmr,Hamar,ruhlen,
so,So,ruhlen,
ymd,Yamdena,ruhlen,
mtk,Matukar,ruhlen,
shb,Mikeyir,ruhlen,
wur,Waura,ruhlen,
sec,Secoya,ruhlen,
