name,type
Idoma,ruhlen
Iduna,ruhlen
Igbo,ruhlen
Igede,ruhlen
Ignaciano,ruhlen
Iha,ruhlen
Ik,ruhlen
Ikundun,ruhlen
Ila,ruhlen
Illinois,ruhlen
Ilokano,ruhlen
Inanwatan,ruhlen
Indonesian,ruhlen
Ingalik,ruhlen
Ingrian,ruhlen
Ingush,ruhlen
Iquito,ruhlen
Irahutu,ruhlen
Iranshe,ruhlen
Iraqw,ruhlen
Irish,ruhlen
Isala,ruhlen
Ishkashmi,ruhlen
Isnag,ruhlen
Isoko,ruhlen
Italian,ruhlen
Itawis,ruhlen
Itonama,ruhlen
Itza,ruhlen
Ivatanen,ruhlen
Iwaidja,ruhlen
Iwam,ruhlen
Ixcatec,ruhlen
Ixil,ruhlen
Iyekhee,ruhlen
Izi,ruhlen
Jacaltec,ruhlen
Janjero,ruhlen
Japanese,ruhlen
Japreria,ruhlen
Jaqaru,ruhlen
Jarawa,ruhlen
Javanese,ruhlen
Jebero,ruhlen
Jeh,ruhlen
Jehai,ruhlen
Jicaque,ruhlen
Jingphaw,ruhlen
Jomang,ruhlen
Juang,ruhlen
Jukun,ruhlen
Jur,ruhlen
Kabardian,ruhlen
Kabre,ruhlen
Kabyle,ruhlen
Kadiweu,ruhlen
Kadugli,ruhlen
Kafa,ruhlen
Kagoma,ruhlen
Kaguru,ruhlen
Kaian,ruhlen
Kaili,ruhlen
Kaingang,ruhlen
Kairi,ruhlen
Kairiru,ruhlen
Kaiwa,ruhlen
Kala Lagaw Ya,ruhlen
Kalam,ruhlen
Kalanga,ruhlen
Kalasha,ruhlen
Kalasha-Ala,ruhlen
Kalispel,ruhlen
Kalkatungu,ruhlen
Kalmyk,ruhlen
Kaluli,ruhlen
Kam,ruhlen
Kaman,ruhlen
Kamano,ruhlen
Kamas,ruhlen
Kamayura,ruhlen
Kamba,ruhlen
Kambot,ruhlen
Kamchadal,ruhlen
Kami,ruhlen
Kamoro,ruhlen
Kana,ruhlen
Kanakuru,ruhlen
Kanauri,ruhlen
Kanembu,ruhlen
Kanjobal,ruhlen
Kankanay (Central),ruhlen
Kannada,ruhlen
Kanum,ruhlen
Kanuri,ruhlen
Kanyok,ruhlen
Kapampangan,ruhlen
Kapingamarangi,ruhlen
Kapriman,ruhlen
Kapuas,ruhlen
Kara,ruhlen
Karaboro,ruhlen
Karachay,ruhlen
Karagas,ruhlen
Karagwe,ruhlen
Karaim,ruhlen
Karakalpak,ruhlen
Karamojong,ruhlen
Karanga,ruhlen
Karankawa,ruhlen
Karata,ruhlen
Karaw,ruhlen
Karelian,ruhlen
Karipuna,ruhlen
Karitiana,ruhlen
Karo Batak,ruhlen
Karok,ruhlen
Kasem,ruhlen
Kashaya,ruhlen
Kashmiri,ruhlen
Kashubian,ruhlen
Katab,ruhlen
Katcha,ruhlen
Kate,ruhlen
Kati,ruhlen
Katla,ruhlen
Katu,ruhlen
Kaure,ruhlen
Kaurna,ruhlen
Kawaiisu,ruhlen
Kayah,ruhlen
Kayan (Baram),ruhlen
Kazakh,ruhlen
Kedang,ruhlen
Kehelala,ruhlen
Kei,ruhlen
Kejia,ruhlen
Kekchi,ruhlen
Kela,ruhlen
Kelabit,ruhlen
Kemant,ruhlen
Kemtuk,ruhlen
Kenga,ruhlen
Kenyang,ruhlen
Kera,ruhlen
Kerek,ruhlen
Keres (Eastern),ruhlen
Keres (Western),ruhlen
Ket,ruhlen
Kete,ruhlen
Ketengban,ruhlen
Kewa,ruhlen
Khakas,ruhlen
Khalaj,ruhlen
Khaling,ruhlen
Khalkha,ruhlen
Kham,ruhlen
Kharia,ruhlen
Khasi,ruhlen
Khmer,ruhlen
Khmu',ruhlen
Khowar,ruhlen
