id,name,gbs_id
Antonov-1997,Antonov 1997,
Antworth-1979,Antworth 1979,
Aoki-1963,Aoki 1963,
Aoki-1970,Aoki 1970,
Aoki-1973,Aoki 1973,
Aoki-1979,Aoki 1979,
Aoki-1994,Aoki 1994,
Appleby-1961,Appleby 1961,
Applegate-1955,Applegate 1955,
Applegate-1958,Applegate 1958,
Applegate-1972,Applegate 1972,
Applegate-1992,Applegate 1992,
Appleyard-1975,Appleyard 1975,
Appleyard-1984,Appleyard 1984,
Appleyard-1995,Appleyard 1995,
Apte-and-Pattanayak-1967,Apte and Pattanayak 1967,
Aquilina-1959,Aquilina 1959,
Arakin-1963,Arakin 1963,
Ardant-du-Picq-1933,Ardant du Picq 1933,
Arends-1989,Arends 1989,
Arensen-1982,Arensen 1982,
Arensen-1992,Arensen 1992,
Arensen-1998,Arensen 1998,
Ariste-1968,Ariste 1968,Zx9WxJO5fXYC
Ariste-1997,Ariste 1997,Zx9WxJO5fXYC
Armbruster-1960,Armbruster 1960,
Armbruster-1965,Armbruster 1965,
Armstrong-1964,Armstrong 1964,
Arndt-1931,Arndt 1931,
Arndt-1933a,Arndt 1933a,
Arndt-1933b,Arndt 1933b,
Arndt-1937,Arndt 1937,
Arnold-1931,Arnold 1931,
Arnott-1967,Arnott 1967,
Arnott-1970,Arnott 1970,
Arokianathan-1987,Arokianathan 1987,
Aronoff-1994,Aronoff 1994,
Aronson-1968,Aronson 1968,
Aronson-1982,Aronson 1982,
Aronson-1991,Aronson 1991,
Arotcarena-1976,Arotcarena 1976,
Arroyo-1955,Arroyo 1955,
Arroyo-1972,Arroyo 1972,
Arsanis-1968,Arsanis 1968,
Arslanov-1997a,Arslanov 1997a,
Arslanov-1997b,Arslanov 1997b,
Arslanov-1997c,Arslanov 1997c,
Arsyad-et-al-1987,Arsyad et al. 1987,
Arzapalo-1973,Arzápalo 1973,
Asai-1953,Asai 1953,
Aschmann-1946,Aschmann 1946,
Aschmann-1973a,Aschmann 1973a,
Aschmann-1973b,Aschmann 1973b,
Aschmann-1993,Aschmann 1993,
Ashcom-and-Goodell-1955,Ashcom and Goodell 1955,
Asher-1968,Asher 1968,
