pk,jsondata,key,description,valueset_pk,source_pk,version
40997,,,400,35245,848,1
40998,,,394-395,35246,2741,1
40999,,,400-401,35246,848,1
41000,,,397,35247,848,1
41001,,,391,35248,2741,1
41002,,,393,35249,2741,1
41003,,,389,35250,2741,1
41004,,,390,35251,2741,1
41005,,,"397, 399",35252,2741,1
41006,,,398,35252,848,1
41007,,,passim,35253,848,1
41008,,,402,35254,2741,1
41009,,,402,35255,2741,1
41010,,,396,35256,848,1
41011,,,388,35257,2741,1
41012,,,395,35257,848,1
41013,,,392,35258,2741,1
41014,,,passim,35259,2741,1
41015,,,passim,35259,848,1
41016,,,59,35263,2716,1
41017,,,81,35263,848,1
41018,,,59,35264,2716,1
41019,,,81,35264,848,1
41020,,,59,35265,2716,1
41021,,,81,35265,848,1
41022,,,"76-77, 115",35266,2716,1
41023,,,81,35266,848,1
41024,,,83,35267,848,1
41025,,,189,35267,2716,1
41026,,,81-83,35268,2716,1
41027,,,83,35268,848,1
41028,,,89,35269,2716,1
41029,,,79,35270,2716,1
41030,,,83,35270,848,1
41031,,,"74, 83",35271,848,1
41032,,,passim,35272,848,1
41033,,,"59, 100",35273,2716,1
41034,,,139,35274,848,1
41035,,,passim,35275,848,1
41036,,,194,35276,2716,1
41037,,,"60, 130, 140",35277,2716,1
41038,,,"60, 130, 140",35278,2716,1
41039,,,176,35279,2206,1
41040,,,88,35280,2716,1
41041,,,119,35281,2716,1
41042,,,passim,35282,2206,1
41043,,,passim,35282,2716,1
41044,,,passim,35282,848,1
41045,,,passim,35286,2716,1
41046,,,passim,35287,2716,1
41047,,,passim,35288,2716,1
41048,,,76-77,35289,2716,1
41049,,,"197, passim",35290,2716,1
41050,,,81-83,35291,2716,1
41051,,,79,35292,2716,1
41052,,,146,35293,2716,1
41053,,,147,35294,2716,1
41054,,,passim,35297,2716,1
41055,,,passim,35298,2716,1
41056,,,passim,35299,2716,1
41057,,,115,35300,2716,1
41058,,,"201, passim",35301,2716,1
41059,,,81-83,35302,2716,1
41060,,,"87, 91",35303,2716,1
41061,,,79,35304,2716,1
41062,,,passim,35305,2716,1
41063,,,passim,35306,848,1
41064,,,passim,35307,848,1
41065,,,passim,35308,2716,1
41066,,,72,35309,2716,1
41067,,,passim,35310,2716,1
41068,,,passim,35310,848,1
41069,,,passim,35315,2713,1
41070,,,60,35316,2713,1
41071,,,60,35317,2713,1
41072,,,"29, 35",35318,2713,1
41073,,,49,35319,2713,1
41074,,,30-31,35320,2713,1
41075,,,42,35321,2713,1
41076,,,passim,35322,2713,1
41077,,,"58, 65",35323,2713,1
41078,,,passim,35324,2713,1
41079,,,48,35325,2713,1
41080,,,48,35326,2713,1
41081,,,40,35327,2713,1
41082,,,passim,35328,2713,1
41083,,,24,35329,2713,1
41084,,,"34, 36",35330,2713,1
41085,,,passim,35331,2713,1
41086,,,8,35334,1128,1
41087,,,110,35334,2650,1
41088,,,8,35335,1128,1
41089,,,110,35335,2650,1
41090,,,8,35336,1128,1
41091,,,110,35336,2650,1
41092,,,18-19,35337,1128,1
41093,,,passim,35338,1128,1
41094,,,12,35339,1128,1
41095,,,113,35339,2650,1
41096,,,"13, 17",35340,1128,1
41097,,,"13, 17",35341,1128,1
41098,,,passim,35342,2650,1
41099,,,"17, 25",35343,2650,1
41100,,,passim,35344,2650,1
41101,,,13,35345,1128,1
41102,,,111,35345,2650,1
41103,,,passim,35346,2650,1
41104,,,passim,35347,2650,1
41105,,,113,35348,2650,1
41106,,,23,35349,1128,1
41107,,,23,35350,1128,1
41108,,,23,35351,1128,1
41109,,,24,35352,1128,1
41110,,,8,35353,1128,1
41111,,,110,35353,2650,1
41112,,,17,35354,1128,1
41113,,,passim,35355,2650,1
41114,,,passim,35355,1128,1
41115,,,"45, passim",35359,2808,1
41116,,,111,35359,2837,1
41117,,,"45, passim",35360,2808,1
41118,,,111,35360,2837,1
41119,,,"45, passim",35361,2808,1
41120,,,111,35361,2837,1
41121,,,31,35362,2808,1
41122,,,"25-26, 28",35363,2808,1
41123,,,"3, 11-15",35364,2808,1
41124,,,112,35364,2837,1
41125,,,passim 23-24,35365,2808,1
41126,,,passim,35366,2808,1
41127,,,passim,35367,2808,1
41128,,,28,35368,2808,1
41129,,,19-23,35369,2808,1
41130,,,112,35370,2837,1
41131,,,passim,35371,2808,1
41132,,,passim,35372,2808,1
41133,,,34,35373,2808,1
41134,,,116,35374,2837,1
41135,,,passim,35374,2808,1
41136,,,116,35375,2837,1
41137,,,passim,35375,2808,1
41138,,,14,35376,2808,1
41139,,,86-99,35377,2808,1
41140,,,45ff,35378,2808,1
41141,,,110-111,35378,2837,1
41142,,,79-81,35379,2837,1
41143,,,85-86,35380,2837,1
41144,,,passim,35381,2808,1
41145,,,passim,35381,2837,1
41146,,,"6, 61",35385,2334,1
41147,,,"6, 61",35386,2334,1
41148,,,"6, 61",35387,2334,1
41149,,,17,35388,2334,1
41150,,,18,35389,2334,1
41151,,,66-72,35390,2334,1
41152,,,"21, 41, 42, 46-48",35391,2334,1
41153,,,24,35392,2334,1
41154,,,"16, 20-21",35393,2334,1
41155,,,"9, 66",35394,2334,1
41156,,,30,35395,2334,1
41157,,,passim,35396,2334,1
41158,,,7,35397,2334,1
41159,,,7,35398,2334,1
41160,,,passim 39,35399,2334,1
41161,,,"7, 61-62",35400,2334,1
41162,,,"9, 14, 19, 26-27",35401,2334,1
41163,,,"9, 14, 31, 33",35402,2334,1
41164,,,passim,35403,2334,1
41165,,,"83, 86-87, 98",35407,802,1
41166,,,"83, 86-87, 98",35408,802,1
41167,,,"83, 86-87, 98",35409,802,1
41168,,,57,35410,802,1
41169,,,153,35411,802,1
41170,,,62-66,35412,802,1
41171,,,39,35413,802,1
41172,,,53,35414,802,1
41173,,,passim,35415,802,1
41174,,,passim 156,35416,802,1
41175,,,51,35417,802,1
41176,,,31-32,35418,802,1
41177,,,"83, 90",35419,802,1
41178,,,passim,35420,802,1
41179,,,92,35421,802,1
41180,,,92,35422,802,1
41181,,,41-42,35423,802,1
41182,,,180-193,35424,802,1
41183,,,62-65,35425,802,1
