pk,jsondata,name,description,markup_description,id,type,lang,version
382,,Crioulo,ruhlen,,,name,en,1
383,,Crow,ruhlen,,,name,en,1
384,,Cua,ruhlen,,,name,en,1
385,,Cuaiquer,ruhlen,,,name,en,1
386,,Cubeo,ruhlen,,,name,en,1
387,,Cuiba,ruhlen,,,name,en,1
388,,Cuica,ruhlen,,,name,en,1
389,,Cuicatec,ruhlen,,,name,en,1
390,,Cuitlatec,ruhlen,,,name,en,1
391,,Culina,ruhlen,,,name,en,1
392,,Cuna,ruhlen,,,name,en,1
393,,Cupeño,ruhlen,,,name,en,1
394,,Curripaco,ruhlen,,,name,en,1
395,,Czech,ruhlen,,,name,en,1
396,,Daba,ruhlen,,,name,en,1
397,,Dadibi,ruhlen,,,name,en,1
398,,Daga,ruhlen,,,name,en,1
399,,Dagara,ruhlen,,,name,en,1
400,,Dagbani,ruhlen,,,name,en,1
401,,Dagur,ruhlen,,,name,en,1
402,,Dahalo,ruhlen,,,name,en,1
403,,Dakota,ruhlen,,,name,en,1
404,,Dan,ruhlen,,,name,en,1
405,,Dangla,ruhlen,,,name,en,1
406,,Dani (Grand Valley),ruhlen,,,name,en,1
407,,Danish,ruhlen,,,name,en,1
408,,Darambal,ruhlen,,,name,en,1
409,,Dargwa,ruhlen,,,name,en,1
410,,Darmiya,ruhlen,,,name,en,1
411,,Dasenech,ruhlen,,,name,en,1
412,,Datooga,ruhlen,,,name,en,1
413,,Day,ruhlen,,,name,en,1
414,,Dayãyo,ruhlen,,,name,en,1
415,,Defaka,ruhlen,,,name,en,1
416,,Degema,ruhlen,,,name,en,1
417,,Dehu,ruhlen,,,name,en,1
418,,Deni,ruhlen,,,name,en,1
419,,Dera,ruhlen,,,name,en,1
420,,Desano,ruhlen,,,name,en,1
421,,Deti,ruhlen,,,name,en,1
422,,Dhangu,ruhlen,,,name,en,1
423,,Dharawal,ruhlen,,,name,en,1
424,,Dhimal,ruhlen,,,name,en,1
425,,Dhurga,ruhlen,,,name,en,1
426,,Dhuwal,ruhlen,,,name,en,1
427,,Di,ruhlen,,,name,en,1
428,,Dida,ruhlen,,,name,en,1
429,,Dido,ruhlen,,,name,en,1
430,,Diegueño,ruhlen,,,name,en,1
431,,Digaro,ruhlen,,,name,en,1
432,,Dimasa,ruhlen,,,name,en,1
433,,Dime,ruhlen,,,name,en,1
434,,Diola,ruhlen,,,name,en,1
435,,Diyari,ruhlen,,,name,en,1
436,,Dizi,ruhlen,,,name,en,1
437,,Djamindjung,ruhlen,,,name,en,1
438,,Djaru,ruhlen,,,name,en,1
439,,Djinang,ruhlen,,,name,en,1
440,,Djingili,ruhlen,,,name,en,1
441,,Djuka,ruhlen,,,name,en,1
442,,Dobel,ruhlen,,,name,en,1
443,,Dogon,ruhlen,,,name,en,1
444,,Dogri,ruhlen,,,name,en,1
445,,Dolgan,ruhlen,,,name,en,1
446,,Dongo,ruhlen,,,name,en,1
447,,Dongolawi,ruhlen,,,name,en,1
448,,Dschang,ruhlen,,,name,en,1
449,,Duala,ruhlen,,,name,en,1
450,,Dubea,ruhlen,,,name,en,1
451,,Duka,ruhlen,,,name,en,1
452,,Duma,ruhlen,,,name,en,1
453,,Dumagat (Casiguran),ruhlen,,,name,en,1
454,,Dumaki,ruhlen,,,name,en,1
455,,Dumi,ruhlen,,,name,en,1
456,,Duna,ruhlen,,,name,en,1
457,,Duru,ruhlen,,,name,en,1
458,,Dutch,ruhlen,,,name,en,1
459,,Dutch Creole,ruhlen,,,name,en,1
460,,Dyaabugay,ruhlen,,,name,en,1
461,,Dyeraidy,ruhlen,,,name,en,1
462,,Dyimini,ruhlen,,,name,en,1
463,,Dyirbal,ruhlen,,,name,en,1
464,,Dyula,ruhlen,,,name,en,1
465,,Eastern Arabic,ruhlen,,,name,en,1
466,,Ebira,ruhlen,,,name,en,1
467,,Efate (North),ruhlen,,,name,en,1
468,,Efik,ruhlen,,,name,en,1
469,,Eipo,ruhlen,,,name,en,1
470,,Ejagham,ruhlen,,,name,en,1
471,,Ekagi,ruhlen,,,name,en,1
472,,Emai,ruhlen,,,name,en,1
473,,Embera,ruhlen,,,name,en,1
474,,Enets,ruhlen,,,name,en,1
475,,Enga,ruhlen,,,name,en,1
476,,Engenni,ruhlen,,,name,en,1
477,,Enggano,ruhlen,,,name,en,1
478,,English,ruhlen,,,name,en,1
479,,Enindhilyagwa,ruhlen,,,name,en,1
480,,Enya,ruhlen,,,name,en,1
