ID,NameOLD,NameNEW,MacroareaOLD,MacroareaNEW,LatitudeOLD,LatitudeNEW,LongitudeOLD,LongitudeNEW,GlottocodeOLD,GlottocodeNEW,ISO639P3code,FamilyOLD,FamilyNEW,SubfamilyOLD,SubfamilyNEW,GenusOLD,GenusNEW,GenusIcon,ISO_codesOLD,ISO_codesNEW,Samples_100,Samples_200,Country_IDOLD,Country_IDNEW,Source
knu,Konua,Konua,Papunesia,Papunesia,-5.833333333,-5.833333333,154.8333333,154.8333333,rapo1238,rapo1238,kyx,West Bougainville,North Bougainville,,,West Bougainville,North Bougainville,sff66ff,kyx,kyx,0,0,PG,PG,Muller-1954 Nichols-1992
rtk,Rotokas,Rotokas,Papunesia,Papunesia,-6,-6,155.1666667,155.1666667,roto1249,roto1249,roo,West Bougainville,North Bougainville,,,West Bougainville,North Bougainville,sff66ff,roo,roo,0,0,PG,PG,Firchow-and-Firchow-1969 Firchow-et-al-1973
bah,Xiriana,Xiriana,,South America,2.666666667,2.666666667,-62.5,-62.5,xiri1243,xiri1243,xir,Arawakan,Arawakan,,,Negro-Roraima+Q284,Negro-Roraima,cff6600,xir,xir,0,0,BR,BR,Ramirez-1992 Stolz-1996
brc,Boruca,Boruca,North America,North America,8.833333333,8.833333333,-83.25,-83.25,boru1252,boru1252,brn,Chibchan,Chibchan,,,Western Isthumus Chibchan,Western Isthmic Chibchan,f66ff33,brn,brn,0,0,CR,CR,Arroyo-1972
bri,Bribri,Bribri,North America,North America,9.416666667,9.416666667,-83,-83,brib1243,brib1243,bzd,Chibchan,Chibchan,,,Western Isthumus Chibchan,Western Isthmic Chibchan,f66ff33,bzd,bzd,0,1,CR,CR,Arroyo-1972 Constenla-Umana-and-Margery-Pena-1979 Constenla-Umana-et-al-1979 Constenla-Umana-et-al-1998 Lehmann-1920 Margery-Pena-1982 Margery-Pena-1996 Pittier-de-Fabrega-1898 Schlablach-and-Levinsohn-1983 Wilson-et-al-1982 Yasugi-1995
cab,Cabécar,Cabécar,North America,North America,9.75,9.75,-83.41666667,-83.41666667,cabe1245,cabe1245,cjp,Chibchan,Chibchan,,,Western Isthumus Chibchan,Western Isthmic Chibchan,f66ff33,cjp,cjp,0,0,CR,CR,Margery-Pena-1989
trb,Teribe,Teribe,North America,North America,9.333333333,9.333333333,-82.66666667,-82.66666667,teri1250,teri1250,tfr,Chibchan,Chibchan,,,Western Isthumus Chibchan,Western Isthmic Chibchan,f66ff33,tfr,tfr,0,0,PA CR,PA CR,Arroyo-1972 Quesada-2000
tga,Tangga,Tangga,Papunesia,Papunesia,-3.466666667,-3.466666667,153.2,153.2,tang1348,tang1348,hrc,Austronesian,Austronesian,Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Oceanic,c0000dd,tgg,hrc,0,0,PG,PG,Bell-1977 Bybee-et-al-1994
kdz,Kadazan,Kadazan,Papunesia,Papunesia,5.916666667,5.916666667,117.1666667,117.1666667,coas1294,coas1294,kzj,Austronesian,Austronesian,,,North Borneo,North Borneo,d66ff33,kzj,kzj,0,0,MY,MY,Antonissen-1958 Hurlbut-1988
brp,Barupu,Barupu,Papunesia,Papunesia,-3.083333333,-3.083333333,142.0833333,142.0833333,wara1302,wara1302,wra,Skou,Skou,,,Warapu,Warapu,s009900,wra,bpe,0,0,PG,PG,Corris-2005
djp,Djapu,Djapu,Australia,Australia,-12.66666667,-12.66666667,136,136,dhuw1249,djap1238,duj,Pama-Nyungan,Pama-Nyungan,,,Western Pama-Nyungan,Western Pama-Nyungan,t99ffff,duj,dwu,0,0,AU,AU,Fabricius-1998 Morphy-1983 Mushin-1995 Rose-et-al-1982
nax,Naxi,Naxi,Eurasia,Eurasia,27.5,27.5,100,100,naxi1245,naxi1245,nxq,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,Naxi,Na-Qiangic,fdd0000,nxq,nxq,0,0,CN,CN,Bradley-1975 He-and-Jiang-1985 Jiang-1980 Jiang-1985
qia,Qiang,Qiang,Eurasia,Eurasia,32,32,102.6666667,102.6666667,qian1264,qian1264,,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,Qiangic,Na-Qiangic,fff66ff,cng qxs,cng qxs,0,0,CN,CN,LaPolla-2003b Sun-1981
pum,Pumi,Pumi,Eurasia,Eurasia,28,28,101,101,pumi1242,pumi1242,,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,Qiangic,Na-Qiangic,fff66ff,pmi pmj,pmi,0,0,CN,CN,Ding-1998 Lu-1983 Sun-1993
jia,Jiarong,Jiarong,Eurasia,Eurasia,31.5,31.5,102,102,jiar1239,jiar1239,jya,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,rGyalrong,Na-Qiangic,fffffcc,jya,jya,0,0,CN,CN,
gyc,Gyarong (Cogtse),Gyarong (Cogtse),Eurasia,Eurasia,31.5,31.5,102,102,jiar1239,situ1238,jya,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,rGyalrong,Na-Qiangic,fffffcc,jya,jya,0,0,CN,CN,Lin-1993 Nagano-2003
rgc,rGyalrong (Caodeng),rGyalrong (Caodeng),Eurasia,Eurasia,31.66666667,31.66666667,101.75,101.75,jiar1239,zbua1234,jya,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,rGyalrong,Na-Qiangic,fffffcc,jya,jya,0,0,CN,CN,Sun-2003
slg,Sulung,Sulung,Eurasia,Eurasia,28.33333333,28.33333333,93.25,93.25,sulu1241,sulu1241,suv,,Sino-Tibetan,,Tibeto-Burman,,Kho-Bwa,sdd0000,suv,suv,0,0,IN,IN,Tayeng-1990b
