id,chapter_id,name,blog_title
82A,82,Order of Subject and Verb,order-of-subject-and-verb
83A,83,Order of Object and Verb,order-of-object-and-verb
84A,84,"Order of Object, Oblique, and Verb",order-of-object-oblique-and-verb
85A,85,Order of Adposition and Noun Phrase,order-of-adposition-and-noun-phrase
86A,86,Order of Genitive and Noun,order-of-genitive-and-noun
87A,87,Order of Adjective and Noun,order-of-adjective-and-noun
88A,88,Order of Demonstrative and Noun,order-of-demonstrative-and-noun
89A,89,Order of Numeral and Noun,order-of-numeral-and-noun
90A,90,Order of Relative Clause and Noun,order-of-relative-clause-and-noun
91A,91,Order of Degree Word and Adjective,order-of-degree-word-and-adjective
92A,92,Position of Polar Question Particles,position-of-polar-question-particles
93A,93,Position of Interrogative Phrases in Content Questions,position-of-interrogative-phrases-in-con
94A,94,Order of Adverbial Subordinator and Clause,order-of-adverbial-subordinator-and-clau
95A,95,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,relationship-between-the-order-of-object
96A,96,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,relationship-between-the-order-of-object-1
97A,97,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,relationship-between-the-order-of-object-2
98A,98,Alignment of Case Marking of Full Noun Phrases,alignment-of-case-marking-of-full-noun-p
99A,99,Alignment of Case Marking of Pronouns,alignment-of-case-marking-of-pronouns
100A,100,Alignment of Verbal Person Marking,alignment-of-verbal-person-marking
101A,101,Expression of Pronominal Subjects,expression-of-pronominal-subjects
102A,102,Verbal Person Marking,verbal-person-marking
103A,103,Third Person Zero of Verbal Person Marking,third-person-zero-of-verbal-person-marki
104A,104,Order of Person Markers on the Verb,order-of-person-markers-on-the-verb
105A,105,Ditransitive Constructions: The Verb 'Give',ditransitive-constructions-the-verb-give
106A,106,Reciprocal Constructions,reciprocal-constructions
107A,107,Passive Constructions,passive-constructions
108A,108,Antipassive Constructions,antipassive-constructions
109A,109,Applicative Constructions,applicative-constructions
110A,110,Periphrastic Causative Constructions,periphrastic-causative-constructions
111A,111,Nonperiphrastic Causative Constructions,nonperiphrastic-causative-constructions
112A,112,Negative Morphemes,negative-morphemes
113A,113,Symmetric and Asymmetric Standard Negation,symmetric-and-asymmetric-standard-negati
114A,114,Subtypes of Asymmetric Standard Negation,subtypes-of-asymmetric-standard-negation
115A,115,Negative Indefinite Pronouns and Predicate Negation,negative-indefinite-pronouns-and-predica
116A,116,Polar Questions,polar-questions
117A,117,Predicative Possession,predicative-possession
118A,118,Predicative Adjectives,predicative-adjectives
119A,119,Nominal and Locational Predication,nominal-and-locational-predication
120A,120,Zero Copula for Predicate Nominals,zero-copula-for-predicate-nominals
121A,121,Comparative Constructions,comparative-constructions
122A,122,Relativization on Subjects,relativization-on-subjects
123A,123,Relativization on Obliques,relativization-on-obliques
124A,124,'Want' Complement Subjects,want-complement-subjects
125A,125,Purpose Clauses,purpose-clauses
126A,126,'When' Clauses,when-clauses
127A,127,Reason Clauses,reason-clauses
128A,128,Utterance Complement Clauses,utterance-complement-clauses
129A,129,Hand and Arm,hand-and-arm
130A,130,Finger and Hand,finger-and-hand
131A,131,Numeral Bases,numeral-bases
132A,132,Number of Non-Derived Basic Colour Categories,number-of-non-derived-basic-colour-categ
133A,133,Number of Basic Colour Categories,number-of-basic-colour-categories
134A,134,Green and Blue,green-and-blue
135A,135,Red and Yellow,red-and-yellow
136A,136,M-T Pronouns,m-t-pronouns
137A,137,N-M Pronouns,n-m-pronouns
138A,138,Tea,tea
139A,139,Irregular Negatives in Sign Languages,irregular-negatives-in-sign-languages
140A,140,Question Particles in Sign Languages,question-particles-in-sign-languages
141A,141,Writing Systems,writing-systems
142A,142,Para-Linguistic Usages of Clicks,para-linguistic-usages-of-clicks
143F,143,Postverbal Negative Morphemes,postverbal-negative-morphemes
90B,90,Prenominal relative clauses,prenominal-relative-clauses
144Y,144,The Position of Negative Morphemes in Object-Initial Languages,the-position-of-negative-morphemes-in-ob
90C,90,Postnominal relative clauses,postnominal-relative-clauses
144P,144,NegSOV Order,negsov-order
144J,144,SVNegO Order,svnego-order
144N,144,Obligatory Double Negation in SOV languages,obligatory-double-negation-in-sov-langua
144S,144,SOVNeg Order,sovneg-order
144X,144,Verb-Initial with Clause-Final Negative,verb-initial-with-clause-final-negative
144A,144,"Position of Negative Word With Respect to Subject, Object, and Verb",position-of-negative-word-with-respect-t
90G,90,Double-headed relative clauses,double-headed-relative-clauses
90E,90,Correlative relative clauses,correlative-relative-clauses
144V,144,Verb-Initial with Preverbal Negative,verb-initial-with-preverbal-negative
144I,144,SNegVO Order,snegvo-order
144R,144,SONegV Order,sonegv-order
143B,143,Obligatory Double Negation,obligatory-double-negation
144M,144,Multiple Negative Constructions in SOV Languages,multiple-negative-constructions-in-sov-l
144U,144,Double negation in verb-initial languages,double-negation-in-verb-initial-language
144G,144,Optional Double Negation in SVO languages,optional-double-negation-in-svo-language
144K,144,SVONeg Order,svoneg-order
144B,144,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,position-of-negative-words-relative-to-b
144F,144,Obligatory Double Negation in SVO languages,obligatory-double-negation-in-svo-langua
90D,90,Internally-headed relative clauses,internally-headed-relative-clauses
144E,144,Multiple Negative Constructions in SVO Languages,multiple-negative-constructions-in-svo-l
144D,144,The Position of Negative Morphemes in SVO Languages,the-position-of-negative-morphemes-in-sv
81B,81,"Languages with two Dominant Orders of Subject, Object, and Verb",languages-with-two-dominant-orders-of-su
143E,143,Preverbal Negative Morphemes,preverbal-negative-morphemes
143C,143,Optional Double Negation,optional-double-negation
90F,90,Adjoined relative clauses,adjoined-relative-clauses
143A,143,Order of Negative Morpheme and Verb,order-of-negative-morpheme-and-verb-1
144W,144,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,verb-initial-with-negative-that-is-immed
144O,144,Optional Double Negation in SOV languages,optional-double-negation-in-sov-language
144Q,144,SNegOV Order,snegov-order
144L,144,The Position of Negative Morphemes in SOV Languages,the-position-of-negative-morphemes-in-so
144H,144,NegSVO Order,negsvo-order
144C,144,Languages with different word order in negative clauses,languages-with-different-word-order-in-n
144T,144,The Position of Negative Morphemes in Verb-Initial Languages,the-position-of-negative-morphemes-in-ve
143G,143,Minor morphological means of signaling negation,minor-morphological-means-of-signaling-n
143D,143,Optional Triple Negation,optional-triple-negation
39B,39,Inclusive/Exclusive Forms in Pama-Nyungan,inclusive-exclusive-forms-in-pama-nyunga
137B,137,M in Second Person Singular,m-in-second-person-singular
136B,136,M in First Person Singular,m-in-first-person-singular
109B,109,Other Roles of Applied Objects,other-roles-of-applied-objects
10B,10,Nasal Vowels in West Africa,nasal-vowels-in-west-africa
25B,25,Zero Marking of A and P Arguments,zero-marking-of-a-and-p-arguments
21B,21,Exponence of Tense-Aspect-Mood Inflection,exponence-of-tense-aspect-mood-inflectio
108B,108,Productivity of the Antipassive Construction,productivity-of-the-antipassive-construc
130B,130,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',cultural-categories-of-languages-with-id
58B,58,Number of Possessive Nouns,number-of-possessive-nouns
79B,79,Suppletion in Imperatives and Hortatives,suppletion-in-imperatives-and-hortatives
