Language_ID,Name,Provider
thd,"Chin, Thado",ethnologue
ccm,"Chinantec, Comaltepec",ethnologue
cle,"Chinantec, Lealao",ethnologue
cpl,"Chinantec, Palantla",ethnologue
chq,"Chinantec, Quiotepec",ethnologue
csc,"Chinantec, Sochiapam",ethnologue
cte,"Chinantec, Tepetotutla",ethnologue
csf,"Chinantec, Usila",ethnologue
csl,Chinese Sign Language,ethnologue
hak,"Chinese, Hakka",ethnologue
kug mnd,"Chinese, Mandarin",ethnologue
fuz,"Chinese, Min Dong",ethnologue
chz hok taq xia,"Chinese, Min Nan",ethnologue
wuc,"Chinese, Wu",ethnologue
cnt,"Chinese, Yue",ethnologue
ckl,Chinook,ethnologue
cpy,Chipaya,ethnologue
cpw ojm,Chippewa,ethnologue
cqt,Chiquitano,ethnologue
ctm,Chitimacha,ethnologue
bec,Chittagonian,ethnologue
cch,Chocholtec,ethnologue
cct,Choctaw,ethnologue
col,"Chol, Tila",ethnologue
col,"Chol, Tumbalá",ethnologue
cln,Cholón,ethnologue
cho,"Chontal, Highland Oaxaca",ethnologue
chx,"Chontal, Lowland Oaxaca",ethnologue
cmy,"Chontal, Tabasco",ethnologue
crt,"Chorote, Iyo'wujwa",ethnologue
crt,"Chorote, Iyojwa'ja",ethnologue
chr,Chrau,ethnologue
crh,Chru,ethnologue
cve,Chuave,ethnologue
chj,"Chuj, Ixtatán",ethnologue
chj,"Chuj, San Sebastián Coatán",ethnologue
chk,Chukchi,ethnologue
cly,Chulym,ethnologue
cum,Chumburung,ethnologue
cuu,Chuukese,ethnologue
chv,Chuvash,ethnologue
cbo,Chácobo,ethnologue
asm,"Citak, Tamnim",ethnologue
cla,Clallam,ethnologue
coc,Cocama-Cocamilla,ethnologue
ccp,Cocopa,ethnologue
coe,Coeur d'Alene,ethnologue
cof,Cofán,ethnologue
tsf,Colorado,ethnologue
cwe,Columbia-Wenatchi,ethnologue
cmn,Comanche,ethnologue
cmx,Comox,ethnologue
coo,Coos,ethnologue
cop,Coptic,ethnologue
cor,"Cora, El Nayar",ethnologue
crn,Cornish,ethnologue
cea,Cree (Swampy),ethnologue
cre,"Cree, Plains",ethnologue
cri,Crimean Tatar,ethnologue
gbc,"Crioulo, Upper Guinea",ethnologue
scr,Croatian,ethnologue
cro,Crow,ethnologue
cua,Cua,ethnologue
cub,Cubeo,ethnologue
cui,Cuiba,ethnologue
ctc,"Cuicatec, Tepeuxila",ethnologue
ctc,"Cuicatec, Teutila",ethnologue
cul,Culina,ethnologue
cup,Cupeño,ethnologue
cur,Curripaco,ethnologue
cze,Czech,ethnologue
dha,Daasanach,ethnologue
dab,Daba,ethnologue
