ID,Name,Description,Contributor,Citation,wp_slug,Number,Area_ID,Source,Contributor_ID,With_Contributor_ID
94,Order of Adverbial Subordinator and Clause,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Order of Adverbial Subordinator and Clause. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/94)",order-of-adverbial-subordinator-and-clau,94,6,Frachtenberg-1913 de-Vries-1993 Maslova-2003a Taylor-1985 Keen-1983 Watkins-1984 van-den-Berg-1995 Raz-1983 Henderson-1997 Harms-1994 Unseth-1989 Schuh-1998 Reh-1985 Sridhar-1990 Kortmann-1997 Diessel-2001,dryerms,
95,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/95)",relationship-between-the-order-of-object,95,6,Gruzdeva-1998 Mahootian-1997 Raz-1983 Heath-1999b Pet-1987 Macaulay-1996 Greenberg-1963 Hawkins-1983 Hawkins-1994 Dryer-1992 Mous-1993,dryerms,
96,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/96)",relationship-between-the-order-of-object-1,96,6,Maslova-2003a Petterson-1999 Owens-1985 Dedrick-and-Casad-1999 Li-and-Thompson-1981 Xu-and-Zhao-1984 Reesink-1999 Donohue-1999a Hawkins-1990 Hawkins-1993 Hawkins-1994 Hawkins-2002 Dryer-1992,dryerms,
97,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Relationship between the Order of Object and Verb and the Order of Adjective and Noun. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/97)",relationship-between-the-order-of-object-2,97,6,Nikolaeva-and-Tolskaya-2001 Abdel-Hafiz-1988 Mulder-1994 Staley-1995 Dryer-1988a Dryer-1992 Greenberg-1963 Newell-1993 Hoskison-1983,dryerms,
98,Alignment of Case Marking of Full Noun Phrases,,Bernard Comrie,"Bernard Comrie. 2013. Alignment of Case Marking of Full Noun Phrases. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/98)",alignment-of-case-marking-of-full-noun-p,98,7,Comrie-1978 Dixon-1994 Li-and-Thompson-1981 Mathiassen-1997 Owens-1985 van-den-Berg-1995 Donohue-1999a Brown-2001 McGregor-1977 Payne-1979 Harris-1981 Moyse-Faurie-1983 Hualde-and-Ortiz-de-Urbina-2003 Seiler-1985 Mithun-1991 Everett-and-Kern-1997 Rood-1976 Popjes-and-Popjes-1986 Bromley-1981 Pitman-1980 McGregor-1990 Woollams-1996 Du-Feu-1996 Chapman-and-Derbyshire-1991 Keegan-1997 Silverstein-1976,comrieb,
99,Alignment of Case Marking of Pronouns,,Bernard Comrie,"Bernard Comrie. 2013. Alignment of Case Marking of Pronouns. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/99)",alignment-of-case-marking-of-pronouns,99,7,Comrie-1978 Dixon-1994 Li-and-Thompson-1981 Mathiassen-1997 Owens-1985 van-den-Berg-1995 Donohue-1999a Brown-2001 McGregor-1977 Payne-1979 Harris-1981 Moyse-Faurie-1983 Hualde-and-Ortiz-de-Urbina-2003 Seiler-1985 Mithun-1991 Everett-and-Kern-1997 Rood-1976 Popjes-and-Popjes-1986 Bromley-1981 Pitman-1980 McGregor-1990 Woollams-1996 Du-Feu-1996 Chapman-and-Derbyshire-1991 Keegan-1997 Silverstein-1976,comrieb,
100,Alignment of Verbal Person Marking,,Anna Siewierska,"Anna Siewierska. 2013. Alignment of Verbal Person Marking. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/100)",alignment-of-verbal-person-marking,100,7,Ezard-1997 Friberg-1996 Mithun-1991 Kimball-1991 Keen-1983 Wolfart-and-Carroll-1981 Guirardello-1999a Cristofaro-2003 Nichols-1992,siewierskaa,
101,Expression of Pronominal Subjects,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Expression of Pronominal Subjects. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/101)",expression-of-pronominal-subjects,101,7,Press-1979 Hill-2002 Crowley-2002a Craig-1977 Vandame-1968 Sulkala-and-Karjalainen-1992 Nebel-1948 Trail-1970 Brown-2001 Macaulay-1996 Chomsky-1981 Van-Valin-and-LaPolla-1997,dryerms,
102,Verbal Person Marking,,Anna Siewierska,"Anna Siewierska. 2013. Verbal Person Marking. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/102)",verbal-person-marking,102,7,Spagnolo-1933 Davies-1981b Jones-1986a Das-Gupta-1971 Ezard-1997 Osumi-1995 Willett-1991 Sohn-1975 Lynch-1982a MacKay-1999 Abbott-1991 Kibrik-1972 Nikolaeva-1999,siewierskaa,
103,Third Person Zero of Verbal Person Marking,,Anna Siewierska,"Anna Siewierska. 2013. Third Person Zero of Verbal Person Marking. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/103)",third-person-zero-of-verbal-person-marki,103,7,Senft-1986 Tryon-1994 Laidig-1993 Roberts-1987 Noonan-1992 Caughley-1982 Carlin-1993 Jones-and-Jones-1991 Zipf-1935 Haiman-1985 Croft-1990 Koch-1995 Benveniste-1971 Ariel-2000 Siewierska-2004,siewierskaa,
104,Order of Person Markers on the Verb,,Anna Siewierska,"Anna Siewierska. 2013. Order of Person Markers on the Verb. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/104)",order-of-person-markers-on-the-verb,104,7,Harrison-1986 Ashton-1947 Leslau-1995 Wash-2001 Strom-1992 van-Eijk-1997 MacDonald-1990 Kroeber-1986 Frank-1990 Foley-1991 Hardman-2000 Bybee-1985 Bybee-et-al-1990 Bittner-and-Hale-1996 Bybee-et-al-1991,siewierskaa,
105,Ditransitive Constructions: The Verb 'Give',,Martin Haspelmath,"Martin Haspelmath. 2013. Ditransitive Constructions: The Verb 'Give'. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/105)",ditransitive-constructions-the-verb-give,105,7,Reh-1985 Dench-1991 Topping-1973 Frajzyngier-1989 Hewitt-1979 Bossong-1985 Bossong-1998 Comrie-1989 Olawsky-1999 Dryer-1983 Sedlak-1975 Primus-1998 Valenzuela-2002 Onishi-2000 Huang-and-Ahrens-1999 Reichle-1981,haspelmathm,
106,Reciprocal Constructions,,"Elena Maslova, Vladimir P. Nedjalkov","Elena Maslova, Vladimir P. Nedjalkov. 2013. Reciprocal Constructions. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/106)",reciprocal-constructions,106,7,Matthews-and-Yip-1994 Cole-1982 Roberts-1987 Marchese-1986a Fortescue-2007 Donaldson-1980 Everett-and-Kern-1997 Geniusiene-2007 Dahl-1990 Haspelmath-2001 Geniusiene-1987 Kemmer-1993 Heine-1999b Lichtenberk-1985 Lichtenberk-2000a Kemmer-1996 Maslova-1999 Everaert-1999,maslovae nedjalkovvp,
107,Passive Constructions,,Anna Siewierska,"Anna Siewierska. 2013. Passive Constructions. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/107)",passive-constructions,107,7,Ashton-1947 Sridhar-1990 Ambrazas-et-al-1997 Feldman-1986 Hoskison-1983 Crowley-1982 Olson-1992 Cooreman-1987 Givon-1994 Wolfart-1973 Valkama-2000 Siewierska-1984 Hopper-and-Thompson-1980,siewierskaa,
108,Antipassive Constructions,,Maria Polinsky,"Maria Polinsky. 2013. Antipassive Constructions. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/108)",antipassive-constructions,108,7,Silverstein-1972 Kozinsky-et-al-1988 England-1983b England-1988 Silverstein-1976 Dixon-1979 Spencer-1991 Heath-1976 Postal-1977 Davies-1984 Givon-1984 Lidz-1996 Gibson-1980 Chung-1998 Watkins-1984 Gerdts-and-Hukari-2005 Tsunoda-1981 Hopper-and-Thompson-1980 Van-Valin-1991 Dowty-1991 Levin-1993 Tchekhoff-1987 Cooreman-1994 Dixon-1994 van-den-Berg-2001 Keen-1983 Kibrik-1981 Kalmar-1979 Seiler-1978 Bittner-1987 Kibrik-et-al-1977 Austin-1981 Smith-Stark-1978 Polinsky-and-Nedjalkov-1987 Gerdts-1988a Comrie-1978 Cooreman-1988 Polinsky-1994 Tsunoda-1988,polinskym,
109,Applicative Constructions,,Maria Polinsky,"Maria Polinsky. 2013. Applicative Constructions. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/109)",applicative-constructions,109,7,Donohue-1999a Polinsky-1995 Austin-1997 Tsunoda-1998 Peterson-1999 Alsina-1996 Alsina-and-Mchombo-1993 Baker-1998 Gerdts-1988a Machobane-1989 Gary-and-Keenan-1977 Seiter-1980 Woolford-1993 Baker-1988 Baker-1985 Alsina-1999 Gerdts-1993 Kimenyi-1988 Polinsky-and-Kozinsky-1992,polinskym,
110,Periphrastic Causative Constructions,,Jae Jung Song,"Jae Jung Song. 2013. Periphrastic Causative Constructions. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/110)",periphrastic-causative-constructions,110,7,Comrie-1989 Song-2001 Kimenyi-1980 Song-1996 Davies-1981b Roberts-1987 Vitale-1981 Saltarelli-et-al-1988 Joseph-and-Philippaki-Warburton-1987 Nedjalkov-and-Silnitsky-1973 Comrie-1976b Dixon-2000,songjj,
111,Nonperiphrastic Causative Constructions,,Jae Jung Song,"Jae Jung Song. 2013. Nonperiphrastic Causative Constructions. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/111)",nonperiphrastic-causative-constructions,111,7,Comrie-1989 Song-2001 Lichtenberk-1983 Besnier-2000 Song-1996 Dixon-2000 Comrie-1976b Solnit-1997 Asher-1985 Davies-1981b Nedjalkov-and-Silnitsky-1973,songjj,
112,Negative Morphemes,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Negative Morphemes. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/112)",negative-morphemes,112,7,Maslova-2003a Meyer-Bahlburg-1972 Sulkala-and-Karjalainen-1992 Innes-1966 Bauer-1993 Dixon-1988 Grinevald-1988 Meier-et-al-1975 Tucker-and-Bryan-1966 Frajzyngier-1993 Petterson-1999 Elbert-1974 Newman-2000,dryerms,
113,Symmetric and Asymmetric Standard Negation,,Matti Miestamo,"Matti Miestamo. 2013. Symmetric and Asymmetric Standard Negation. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/113)",symmetric-and-asymmetric-standard-negati,113,7,Bowden-2001 Cornyn-1944 Haspelmath-1993 Capell-and-Hinch-1970 Schmid-1980 DAns-1968 Givon-1978 Givon-2001 Miestamo-2003 Miestamo-2000,miestamom,
114,Subtypes of Asymmetric Standard Negation,,Matti Miestamo,"Matti Miestamo. 2013. Subtypes of Asymmetric Standard Negation. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/114)",subtypes-of-asymmetric-standard-negation,114,7,Miestamo-2003 Derbyshire-1979 Hartzler-1994 Cole-1985 Bright-1957 Heath-1999a Jung-1989 Contini-Morava-1989 Koshal-1979 Schmid-1980 Saltarelli-et-al-1988 Harrison-et-al-1981 Kuipers-1967 Williamson-1965 Heath-1980b,miestamom,
115,Negative Indefinite Pronouns and Predicate Negation,,Martin Haspelmath,"Martin Haspelmath. 2013. Negative Indefinite Pronouns and Predicate Negation. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/115)",negative-indefinite-pronouns-and-predica,115,7,Bril-1999 Hewitt-1995 Ikoro-1996 Bernini-and-Ramat-1996 Haspelmath-1997 Berry-and-Berry-1999 Dryer-1988b McGregor-1990 Dayley-1985 Macaulay-1996 Weiss-1999,haspelmathm,
116,Polar Questions,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Polar Questions. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/116)",polar-questions,116,7,Dol-1999 Watkins-1984 Nettle-1998 van-den-Berg-1995 Haas-1940 Breeze-1990 Everett-1986 Josephs-1975 Semiun-1993 Aikhenvald-1998 Epps-2008 Hayward-1990b Colarusso-1992 Adelaar-2004 Nebel-1948 Kiessling-1994 Taylor-1985 Maiden-and-Robustelli-2000 Cole-1982 Paroz-1946 Muntzel-1986 Macaulay-1996,dryerms,
117,Predicative Possession,,Leon Stassen,"Leon Stassen. 2013. Predicative Possession. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/117)",predicative-possession,117,7,Clark-1978 Seiler-1983 Heine-1997 Stassen-2001 Fortescue-1984 Poppe-1954 Kalinina-1993 Sneddon-1975 Stassen-2000 Murane-1974 Samarin-1967b Ashton-et-al-1954 Steele-1977 Comrie-1989 Press-1986 Wetzer-1996 Stassen-1997 Osborne-1974 Cyffer-1974 Bendor-Samuel-1972 Jochelson-1905,stassenl,
118,Predicative Adjectives,,Leon Stassen,"Leon Stassen. 2013. Predicative Adjectives. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/118)",predicative-adjectives,118,7,Crowell-1979 Tucker-and-Bryan-1966 Wetzer-1996 Stassen-1997 Osborne-1974 Greene-1966 Eades-1979 Schachter-and-Otanes-1972 Biggs-1969,stassenl,
119,Nominal and Locational Predication,,Leon Stassen,"Leon Stassen. 2013. Nominal and Locational Predication. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/119)",nominal-and-locational-predication,119,7,Stassen-1997 Li-and-Thompson-1977 Li-and-Thompson-1981 Greene-1966 Harrison-1976 Ross-and-Paol-1978 Mirikitani-1972 Anonymous-1985 Conzemius-1929 Ashton-et-al-1954 Douglas-1959 Drake-1903 Asher-1982 Givon-1984,stassenl,
120,Zero Copula for Predicate Nominals,,Leon Stassen,"Leon Stassen. 2013. Zero Copula for Predicate Nominals. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/120)",zero-copula-for-predicate-nominals,120,7,Benveniste-1966b Fromm-and-Sadeniemi-1956 Hanoteau-1906 Noss-1964 Gair-1970 Lukas-1953 Douglas-1959 Voorhoeve-1965a Ginter-and-Tarnoi-1991 Stassen-1997 Li-and-Thompson-1977 Lister-Turner-and-Clark-1930 Lewis-1967 Tucker-and-Bryan-1966 Feldman-1986 Welmers-1976 Koelle-1854,stassenl,
121,Comparative Constructions,,Leon Stassen,"Leon Stassen. 2013. Comparative Constructions. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/121)",comparative-constructions,121,7,Ultan-1972 Andersen-1983 Stassen-1984 Stassen-1985 Kuhner-and-Stegmann-1955 Ittmann-1939 Warotamasikkhadit-1972 Hoffmann-1903 Sjoberg-1963 Oinas-1966 Frachtenberg-1922a Tucker-and-Mpaayei-1955 Hanoteau-1896 Lukas-1953 Roberts-1987 Bloomfield-1962 Lewis-1968 Heine-1994,stassenl,
122,Relativization on Subjects,,"Bernard Comrie, Tania Kuteva","Bernard Comrie, Tania Kuteva. 2013. Relativization on Subjects. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/122)",relativization-on-subjects,122,8,Comrie-1998 Comrie-1989 Everett-1986 Gordon-1986 Schaub-1985 Amha-2001 Lehmann-1984 Haspelmath-2001 Keenan-and-Comrie-1977,comrieb kutevat,
123,Relativization on Obliques,,"Bernard Comrie, Tania Kuteva","Bernard Comrie, Tania Kuteva. 2013. Relativization on Obliques. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/123)",relativization-on-obliques,123,8,Comrie-1998 Gordon-1986 McGregor-1990 Comrie-1989 Lehmann-1984 Haspelmath-2001 Keenan-and-Comrie-1977 Schaub-1985,comrieb kutevat,
124,'Want' Complement Subjects,,Martin Haspelmath,"Martin Haspelmath. 2013. 'Want' Complement Subjects. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/124)",want-complement-subjects,124,8,Wendt-1972 Ziervogel-et-al-1981 Mitchell-1962 Faraclas-1984 Facundes-2000 Hofling-2000 Dench-1991 Jung-1989 Bauer-1993 Olawsky-1999 Hewitt-1979 van-Klinken-1999 Gordon-1986 Rice-1989 Douglas-1991,haspelmathm,
125,Purpose Clauses,,Sonia Cristofaro,"Sonia Cristofaro. 2013. Purpose Clauses. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/125)",purpose-clauses,125,8,Stassen-1985 Croft-1990 Cristofaro-2003 Li-and-Thompson-1973 Cristofaro-1998 Noonan-1992 Fortescue-1984 Hewitt-1987 Sulkala-and-Karjalainen-1992 Hengeveld-1998 Joseph-1983 Koptjevskaja-Tamm-1994 Evans-1995 van-den-Berg-1989b Haiman-1983 Haiman-1985 Givon-1980 Givon-1990,cristofaros,
126,'When' Clauses,,Sonia Cristofaro,"Sonia Cristofaro. 2013. 'When' Clauses. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/126)",when-clauses,126,8,Cristofaro-2003 Dayley-1985 Popjes-and-Popjes-1986 Stassen-1985 Gordon-1986 Bauer-1993 Hewitt-1987 Saltarelli-et-al-1988 Cristofaro-1998 Haiman-1983 Haiman-1985 Givon-1980 Givon-1990,cristofaros,
127,Reason Clauses,,Sonia Cristofaro,"Sonia Cristofaro. 2013. Reason Clauses. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/127)",reason-clauses,127,8,Cristofaro-2003 Popjes-and-Popjes-1986 Stassen-1985 Bhatia-1993 Maslova-2003a Fortescue-1984 Guirardello-1999a Cristofaro-1998 Haiman-1983 Haiman-1985 Langacker-1987a Langacker-1987b Langacker-1991 Givon-1980 Givon-1990,cristofaros,
128,Utterance Complement Clauses,,Sonia Cristofaro,"Sonia Cristofaro. 2013. Utterance Complement Clauses. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/128)",utterance-complement-clauses,128,8,Noonan-1985 Cristofaro-2003 Davies-1981b Everett-1986 Munro-1982 Stassen-1985 Gordon-1986 Fortescue-1984 Cristofaro-1998 Givon-1980 Givon-1990 Dik-1989 Dik-1997a Dik-1997b Hengeveld-1989 Hengeveld-1990 Siewierska-1991 Langacker-1987a Langacker-1987b Langacker-1991,cristofaros,
129,Hand and Arm,,Cecil H. Brown,"Cecil H. Brown. 2013. Hand and Arm. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/129)",hand-and-arm,129,9,Witkowski-and-Brown-1985,brownch,
130,Finger and Hand,,Cecil H. Brown,"Cecil H. Brown. 2013. Finger and Hand. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/130)",finger-and-hand,130,9,Brown-and-Witkowski-1981 Kunz-1917,brownch,
131,Numeral Bases,,Bernard Comrie,"Bernard Comrie. 2013. Numeral Bases. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/131)",numeral-bases,131,9,Comrie-1997 Greenberg-1978 Hurford-1975 Sapir-1965 Drabbe-1952 Green-and-Igwe-1963 Carlson-1994 Kornfilt-1997,comrieb,
132,Number of Non-Derived Basic Colour Categories,,"Paul Kay, Luisa Maffi","Paul Kay, Luisa Maffi. 2013. Number of Non-Derived Basic Colour Categories. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/132)",number-of-non-derived-basic-colour-categ,132,9,Kay-et-al-1991 Kay-and-Berlin-1997 Kay-et-al-1997 Hardin-and-Maffi-1997 Kay-and-Maffi-1999 Berlin-and-Kay-1969 Kay-and-McDaniel-1978 Hering-1964 Jameson-and-Hurvich-1968 Hurvich-1982 Zadeh-1996 Xu-1994,kayp maffil,
133,Number of Basic Colour Categories,,"Paul Kay, Luisa Maffi","Paul Kay, Luisa Maffi. 2013. Number of Basic Colour Categories. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/133)",number-of-basic-colour-categories,133,9,Kay-et-al-1991 Kay-and-Berlin-1997 Kay-et-al-1997 Hardin-and-Maffi-1997 Kay-and-Maffi-1999 Berlin-and-Kay-1969 Kay-and-McDaniel-1978 Hering-1964 Jameson-and-Hurvich-1968 Hurvich-1982 Zadeh-1996 Xu-1994,kayp maffil,
134,Green and Blue,,"Paul Kay, Luisa Maffi","Paul Kay, Luisa Maffi. 2013. Green and Blue. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/134)",green-and-blue,134,9,Kay-et-al-1991 Kay-and-Berlin-1997 Kay-et-al-1997 Hardin-and-Maffi-1997 Kay-and-Maffi-1999 Berlin-and-Kay-1969 Kay-and-McDaniel-1978 Hering-1964 Jameson-and-Hurvich-1968 Hurvich-1982 Zadeh-1996 Xu-1994,kayp maffil,
135,Red and Yellow,,"Paul Kay, Luisa Maffi","Paul Kay, Luisa Maffi. 2013. Red and Yellow. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/135)",red-and-yellow,135,9,Kay-et-al-1991 Kay-and-Berlin-1997 Kay-et-al-1997 Hardin-and-Maffi-1997 Kay-and-Maffi-1999 Berlin-and-Kay-1969 Kay-and-McDaniel-1978 Hering-1964 Jameson-and-Hurvich-1968 Hurvich-1982 Zadeh-1996 Xu-1994,kayp maffil,
136,M-T Pronouns,,"Johanna Nichols, David A. Peterson","Johanna Nichols, David A. Peterson. 2013. M-T Pronouns. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/136)",m-t-pronouns,136,9,Grinevald-1988 Lewis-1967 Campbell-1985 Bright-1957 Tarpent-1987 Smeets-1989 Vinas-Urquiza-1974 Voorhoeve-1965b Innes-1966 Ringe-1998 Oswalt-1991 Nichols-2001 Nichols-and-Peterson-1996,nicholsj petersonda,
137,N-M Pronouns,,"Johanna Nichols, David A. Peterson","Johanna Nichols, David A. Peterson. 2013. N-M Pronouns. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/137)",n-m-pronouns,137,9,Grinevald-1988 Lewis-1967 Campbell-1985 Bright-1957 Tarpent-1987 Smeets-1989 Vinas-Urquiza-1974 Voorhoeve-1965b Innes-1966 Ringe-1998 Oswalt-1991 Nichols-2001 Nichols-and-Peterson-1996,nicholsj petersonda,
138,Tea,,Östen Dahl,"Östen Dahl. 2013. Tea. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/138)",tea,138,9,,dahlo,
139,Irregular Negatives in Sign Languages,,Ulrike Zeshan,"Ulrike Zeshan. 2013. Irregular Negatives in Sign Languages. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/139)",irregular-negatives-in-sign-languages,139,10,Zeshan-2004b,zeshanu,
