ID,Name,Description,Contributor,Citation,wp_slug,Number,Area_ID,Source,Contributor_ID,With_Contributor_ID
30,Number of Genders,,Greville G. Corbett,"Greville G. Corbett. 2013. Number of Genders. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/30)",number-of-genders,30,3,Hutchison-1981 Jenewari-1983 Dixon-1982 Corbett-1991 Aikhenvald-2000 Aikhenvald-1994 Strom-1992 van-Staden-2000 Reid-1997 Dunn-2000 Zaliznjak-1964 Schachter-and-Otanes-1972 Mosel-and-Spriggs-2000 Nichols-1992 Guldemann-2000 Corbett-and-Hayward-1987 Arnott-1967 Koval-1979 Breedveld-1995 Fortune-1942 Aronoff-1994 Fraser-and-Corbett-1997,corbettgg,
31,Sex-based and Non-sex-based Gender Systems,,Greville G. Corbett,"Greville G. Corbett. 2013. Sex-based and Non-sex-based Gender Systems. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/31)",sex-based-and-non-sex-based-gender-syste,31,3,Evans-et-al-2002 Breedveld-1995 Corbett-1991 van-Staden-2000 Xajdakov-1963 Miranda-1975 Zareba-1984 Welmers-1973 Wald-1975 Bloomfield-1957 Black-Rogers-1982,corbettgg,
32,Systems of Gender Assignment,,Greville G. Corbett,"Greville G. Corbett. 2013. Systems of Gender Assignment. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/32)",systems-of-gender-assignment,32,3,Sridhar-1990 Evans-et-al-2002 Corbett-1991 Parker-and-Hayward-1985 Corbett-1982 Fraser-and-Corbett-1995 Fraser-and-Corbett-1997 Corbett-and-Fraser-2000 Mills-1986 Muller-2000 Polinsky-and-Jackson-1999 Comrie-and-Polinsky-1998 Polinsky-and-van-Everbroeck-2003,corbettgg,
33,Coding of Nominal Plurality,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Coding of Nominal Plurality. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/33)",coding-of-nominal-plurality,33,3,Elbert-and-Pukui-1979 Leeding-1989 Campbell-and-Campbell-1987 Nebel-1948 Crazzolara-1933 Frank-1999 Gordon-1986 Miller-2001 Burgess-1984 Boyeldieu-1982 Adwiraah-1989 Prost-1964d Crass-and-Jakobi-2004 Kutsch-Lojenga-1994 Sneddon-1996 Campbell-1985 MacKay-1999 Vorbichler-1971 Norris-1986 Macaulay-1996 Key-1967 Kolia-1975 Ehrman-1970 Bauer-1993 Childs-1995 Borgman-1990 Tryon-1970b Hayward-1990a Evans-1995 Seiler-1985 de-Vries-1989 Corbett-2000,dryerms,
34,Occurrence of Nominal Plurality,,Martin Haspelmath,"Martin Haspelmath. 2013. Occurrence of Nominal Plurality. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/34)",occurrence-of-nominal-plurality,34,3,Haller-2000 Kilian-Hatz-1995 Green-1995 Reesink-1999 Miller-2001 van-Klinken-1999 Pet-1987 Fortescue-1984 Nagaraja-1999 Bowden-2001 Osborne-1974 Roberts-1987 Nedjalkov-1997 Haspelmath-1993 Hofling-2000 Andronov-1980 Rowlands-1969 Nikolaeva-and-Tolskaya-2001 Pilhofer-1933 Smith-Stark-1974 Corbett-2000,haspelmathm,
35,Plurality in Independent Personal Pronouns,,Michael Daniel,"Michael Daniel. 2013. Plurality in Independent Personal Pronouns. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/35)",plurality-in-independent-personal-pronou,35,3,Forchheimer-1953 Benveniste-1966a Barulin-1980 Corbett-2000 Majtinskaja-1969 Keegan-1997,danielm,
36,The Associative Plural,,"Michael Daniel, Edith Moravcsik","Michael Daniel, Edith Moravcsik. 2013. The Associative Plural. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/36)",the-associative-plural,36,3,Delbruck-1893 Jespersen-1965 Corbett-2000 Daniel-2000 Moravcsik-2003 Barulin-1980 Lewis-1893 Derbyshire-1985 Heusler-1964,danielm moravcsike,
37,Definite Articles,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Definite Articles. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/37)",definite-articles,37,3,Ingham-2001 Merlan-1982 Hamel-1994 Nichols-1988 Givon-1980 Besha-1993 Skinner-1979 Gary-and-Gamal-Eldin-1982 Giridhar-1980 MacDonald-1990 Scancarelli-1987 Samarin-1967b Dougherty-1983 Elwell-Sutton-1941 Allan-et-al-1995,dryerms,
38,Indefinite Articles,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Indefinite Articles. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/38)",indefinite-articles,38,3,Davies-1981b Kornfilt-1997 Fernandez-1967 van-Driem-1987 Skinner-1979 Haspelmath-1993 Givon-1981 Chelliah-1997 Terrill-2003 van-Enk-and-de-Vries-1997 Armbruster-1960 Bielec-1998 Dougherty-1983 Dickens-1992,dryerms,
39,Inclusive/Exclusive Distinction in Independent Pronouns,,Michael Cysouw,"Michael Cysouw. 2013. Inclusive/Exclusive Distinction in Independent Pronouns. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/39)",inclusive-exclusive-distinction-in-indep,39,3,Everett-1986 Clairis-1985 Gordon-1986 Harriehausen-1990 Popjes-and-Popjes-1986 Topping-1973 Terrill-2003 Plank-1996 Thomas-1955 Broadbent-1964 Cysouw-2003 Payne-and-Payne-1990 McGregor-1990 Crowley-1982 McKay-1978 Merlan-1982 Dixon-1980 OGrady-et-al-1966 Koch-1997,cysouwm,
